id,sensorId,observationDate,julianDateUTC,verticalPosition,temperature,qualityFlag,qartodFlags
10375026,2371,2023-04-06 04:00:00.000,2023095.666666,-1.00,19.90,3,0000-0000-0000
10375151,2371,2023-04-06 05:00:00.000,2023095.708333,-1.00,19.91,3,0000-0000-0000
10375268,2371,2023-04-06 06:00:00.000,2023095.750000,-1.00,19.89,3,0000-0000-0000
10375415,2371,2023-04-06 07:00:00.000,2023095.791666,-1.00,19.89,3,0000-0000-0000
10375552,2371,2023-04-06 08:00:00.000,2023095.833333,-1.00,19.87,3,0000-0000-0000
10375689,2371,2023-04-06 09:00:00.000,2023095.875000,-1.00,19.87,3,0000-0000-0000
10375826,2371,2023-04-06 10:00:00.000,2023095.916666,-1.00,19.90,3,0000-0000-0000
10375943,2371,2023-04-06 11:00:00.000,2023095.958333,-1.00,19.92,3,0000-0000-0000
10376340,2371,2023-04-06 12:00:00.000,2023096.000000,-1.00,19.92,3,0000-0000-0000
10376341,2371,2023-04-06 13:00:00.000,2023096.041666,-1.00,19.93,3,0000-0000-0000
10376342,2371,2023-04-06 14:00:00.000,2023096.083333,-1.00,19.93,3,0000-0000-0000
10376459,2371,2023-04-06 15:00:00.000,2023096.125000,-1.00,19.87,3,0000-0000-0000
10376636,2371,2023-04-06 16:00:00.000,2023096.166666,-1.00,19.87,3,0000-0000-0000
10376712,2371,2023-04-06 17:00:00.000,2023096.208333,-1.00,19.88,3,0000-0000-0000
10376910,2371,2023-04-06 18:00:00.000,2023096.250000,-1.00,19.90,3,0000-0000-0000
10377027,2371,2023-04-06 19:00:00.000,2023096.291666,-1.00,19.88,3,0000-0000-0000
10377184,2371,2023-04-06 20:00:00.000,2023096.333333,-1.00,19.86,3,0000-0000-0000
10377309,2371,2023-04-06 21:00:00.000,2023096.375000,-1.00,19.84,3,0000-0000-0000
10377446,2371,2023-04-06 22:00:00.000,2023096.416666,-1.00,19.84,3,0000-0000-0000
10377551,2371,2023-04-06 23:00:00.000,2023096.458333,-1.00,19.84,3,0000-0000-0000
10377708,2371,2023-04-07 00:00:00.000,2023096.500000,-1.00,19.82,3,0000-0000-0000
10377845,2371,2023-04-07 01:00:00.000,2023096.541666,-1.00,19.82,3,0000-0000-0000
10377982,2371,2023-04-07 02:00:00.000,2023096.583333,-1.00,19.80,3,0000-0000-0000
10378119,2371,2023-04-07 03:00:00.000,2023096.625000,-1.00,19.79,3,0000-0000-0000
10378256,2371,2023-04-07 04:00:00.000,2023096.666666,-1.00,19.79,3,0000-0000-0000
10378393,2371,2023-04-07 05:00:00.000,2023096.708333,-1.00,19.79,3,0000-0000-0000
10378515,2371,2023-04-07 06:00:00.000,2023096.750000,-1.00,19.77,3,0000-0000-0000
10378640,2371,2023-04-07 07:00:00.000,2023096.791666,-1.00,19.77,3,0000-0000-0000
10378777,2371,2023-04-07 08:00:00.000,2023096.833333,-1.00,19.76,3,0000-0000-0000
10378894,2371,2023-04-07 09:00:00.000,2023096.875000,-1.00,19.74,3,0000-0000-0000
10379051,2371,2023-04-07 10:00:00.000,2023096.916666,-1.00,19.75,3,0000-0000-0000
10379188,2371,2023-04-07 11:00:00.000,2023096.958333,-1.00,19.75,3,0000-0000-0000
10379325,2371,2023-04-07 12:00:00.000,2023097.000000,-1.00,19.77,3,0000-0000-0000
10379462,2371,2023-04-07 13:00:00.000,2023097.041666,-1.00,19.78,3,0000-0000-0000
10379723,2371,2023-04-07 14:00:00.000,2023097.083333,-1.00,19.78,3,0000-0000-0000
10379724,2371,2023-04-07 15:00:00.000,2023097.125000,-1.00,19.79,3,0000-0000-0000
10379861,2371,2023-04-07 16:00:00.000,2023097.166666,-1.00,19.80,3,0000-0000-0000
10379998,2371,2023-04-07 17:00:00.000,2023097.208333,-1.00,19.78,3,0000-0000-0000
10380135,2371,2023-04-07 18:00:00.000,2023097.250000,-1.00,19.74,3,0000-0000-0000
10380272,2371,2023-04-07 19:00:00.000,2023097.291666,-1.00,19.71,3,0000-0000-0000
10380409,2371,2023-04-07 20:00:00.000,2023097.333333,-1.00,19.68,3,0000-0000-0000
10380514,2371,2023-04-07 21:00:00.000,2023097.375000,-1.00,19.66,3,0000-0000-0000
10380671,2371,2023-04-07 22:00:00.000,2023097.416666,-1.00,19.65,3,0000-0000-0000
10380808,2371,2023-04-07 23:00:00.000,2023097.458333,-1.00,19.62,3,0000-0000-0000
10380945,2371,2023-04-08 00:00:00.000,2023097.500000,-1.00,19.60,3,0000-0000-0000
10381082,2371,2023-04-08 01:00:00.000,2023097.541666,-1.00,19.57,3,0000-0000-0000
10381219,2371,2023-04-08 02:00:00.000,2023097.583333,-1.00,19.53,3,0000-0000-0000
10381356,2371,2023-04-08 03:00:00.000,2023097.625000,-1.00,19.50,3,0000-0000-0000
10381493,2371,2023-04-08 04:00:00.000,2023097.666666,-1.00,19.47,3,0000-0000-0000
10381618,2371,2023-04-08 05:00:00.000,2023097.708333,-1.00,19.45,3,0000-0000-0000
10381743,2371,2023-04-08 06:00:00.000,2023097.750000,-1.00,19.40,3,0000-0000-0000
10381848,2371,2023-04-08 07:00:00.000,2023097.791666,-1.00,19.38,3,0000-0000-0000
10381995,2371,2023-04-08 08:00:00.000,2023097.833333,-1.00,19.38,3,0000-0000-0000
10382112,2371,2023-04-08 09:00:00.000,2023097.875000,-1.00,19.39,3,0000-0000-0000
10382415,2371,2023-04-08 10:00:00.000,2023097.916666,-1.00,19.39,3,0000-0000-0000
10385779,2371,2023-04-09 10:31:00.000,2023098.938194,-1.00,19.68,3,0000-0000-0000
10385916,2371,2023-04-09 11:31:00.000,2023098.979861,-1.00,19.80,3,0000-0000-0000
10386038,2371,2023-04-09 12:31:00.000,2023099.021527,-1.00,19.93,3,0000-0000-0000
10386175,2371,2023-04-09 13:31:00.000,2023099.063194,-1.00,20.10,3,0000-0000-0000
10386312,2371,2023-04-09 14:31:00.000,2023099.104861,-1.00,20.12,3,0000-0000-0000
10386449,2371,2023-04-09 15:31:00.000,2023099.146527,-1.00,20.01,3,0000-0000-0000
10386586,2371,2023-04-09 16:31:00.000,2023099.188194,-1.00,19.93,3,0000-0000-0000
10386723,2371,2023-04-09 17:31:00.000,2023099.229861,-1.00,19.85,3,0000-0000-0000
10386860,2371,2023-04-09 18:31:00.000,2023099.271527,-1.00,19.73,3,0000-0000-0000
10386982,2371,2023-04-09 19:31:00.000,2023099.313194,-1.00,19.66,3,0000-0000-0000
10387119,2371,2023-04-09 20:31:00.000,2023099.354861,-1.00,19.63,3,0000-0000-0000
10387256,2371,2023-04-09 21:31:00.000,2023099.396527,-1.00,19.59,3,0000-0000-0000
10387373,2371,2023-04-09 22:31:00.000,2023099.438194,-1.00,19.56,3,0000-0000-0000
10387478,2371,2023-04-09 23:31:00.000,2023099.479861,-1.00,19.54,3,0000-0000-0000
10387645,2371,2023-04-10 00:31:00.000,2023099.521527,-1.00,19.58,3,0000-0000-0000
10387767,2371,2023-04-10 01:31:00.000,2023099.563194,-1.00,19.55,3,0000-0000-0000
10387904,2371,2023-04-10 02:31:00.000,2023099.604861,-1.00,19.55,3,0000-0000-0000
10387977,2371,2023-04-10 03:31:00.000,2023099.646527,-1.00,19.58,3,0000-0000-0000
10388128,2371,2023-04-10 04:31:00.000,2023099.688194,-1.00,19.80,3,0000-0000-0000
10388265,2371,2023-04-10 05:31:00.000,2023099.729861,-1.00,19.79,3,0000-0000-0000
10388382,2371,2023-04-10 06:31:00.000,2023099.771527,-1.00,19.80,3,0000-0000-0000
10388539,2371,2023-04-10 07:31:00.000,2023099.813194,-1.00,19.84,3,0000-0000-0000
10388656,2371,2023-04-10 08:31:00.000,2023099.854861,-1.00,19.84,3,0000-0000-0000
10388788,2371,2023-04-10 09:31:00.000,2023099.896527,-1.00,19.88,3,0000-0000-0000
10389064,2371,2023-04-10 10:31:00.000,2023099.938194,-1.00,19.95,3,0000-0000-0000
10389065,2371,2023-04-10 11:31:00.000,2023099.979861,-1.00,20.08,3,0000-0000-0000
10389187,2371,2023-04-10 12:31:00.000,2023100.021527,-1.00,20.16,3,0000-0000-0000
10389324,2371,2023-04-10 13:31:00.000,2023100.063194,-1.00,20.20,3,0000-0000-0000
10389449,2371,2023-04-10 14:31:00.000,2023100.104861,-1.00,20.23,3,0000-0000-0000
10389586,2371,2023-04-10 15:31:00.000,2023100.146527,-1.00,20.23,3,0000-0000-0000
10389723,2371,2023-04-10 16:31:00.000,2023100.188194,-1.00,20.20,3,0000-0000-0000
10389840,2371,2023-04-10 17:31:00.000,2023100.229861,-1.00,20.12,3,0000-0000-0000
10389962,2371,2023-04-10 18:31:00.000,2023100.271527,-1.00,20.08,3,0000-0000-0000
10390094,2371,2023-04-10 19:31:00.000,2023100.313194,-1.00,20.01,3,0000-0000-0000
10390231,2371,2023-04-10 20:31:00.000,2023100.354861,-1.00,19.95,3,0000-0000-0000
10390356,2371,2023-04-10 21:31:00.000,2023100.396527,-1.00,19.97,3,0000-0000-0000
10390493,2371,2023-04-10 22:31:00.000,2023100.438194,-1.00,19.94,3,0000-0000-0000
10390618,2371,2023-04-10 23:31:00.000,2023100.479861,-1.00,19.89,3,0000-0000-0000
10390755,2371,2023-04-11 00:31:00.000,2023100.521527,-1.00,19.85,3,0000-0000-0000
10390892,2371,2023-04-11 01:31:00.000,2023100.563194,-1.00,19.80,3,0000-0000-0000
10391029,2371,2023-04-11 02:31:00.000,2023100.604861,-1.00,19.76,3,0000-0000-0000
10391166,2371,2023-04-11 03:31:00.000,2023100.646527,-1.00,19.73,3,0000-0000-0000
10391283,2371,2023-04-11 04:31:00.000,2023100.688194,-1.00,19.73,3,0000-0000-0000
10391408,2371,2023-04-11 05:31:00.000,2023100.729861,-1.00,19.73,3,0000-0000-0000
10391540,2371,2023-04-11 06:31:00.000,2023100.771527,-1.00,19.78,3,0000-0000-0000
