id,sensorId,observationDate,julianDateUTC,verticalPosition,significantWaveHeight,dominantWavePeriod,averageWavePeriod,meanWaveDirection,swellHeight,swellPeriod,swellDirection,windWaveHeight,windWavePeriod,windWaveDirection,frequencyBands,qualityFlag,maxWaveHeight,maxWavePeriod,max10thPercentileHeight
462286,2366,2024-06-19 21:20:00.000,2024171.388888,0.25,0.003,8.11,6.49,282.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.005,10.83,0.004
462287,2366,2024-06-19 21:50:00.000,2024171.409722,0.25,0.003,6.45,6.71,246.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.005,12.54,0.004
462289,2366,2024-06-19 22:20:00.000,2024171.430555,0.25,0.004,12.04,11.33,178.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.006,14.25,0.005
462290,2366,2024-06-19 22:50:00.000,2024171.451388,0.25,0.003,8.28,7.58,219.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.005,12.54,0.004
462292,2366,2024-06-19 23:20:00.000,2024171.472222,0.25,0.004,13.90,9.98,33.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.006,13.68,0.005
462293,2366,2024-06-19 23:50:00.000,2024171.493055,0.25,0.004,14.78,9.49,228.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.007,14.82,0.006
462295,2366,2024-06-20 00:20:00.000,2024171.513888,0.25,0.005,13.73,8.91,213.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.007,15.39,0.006
462298,2366,2024-06-20 01:20:00.000,2024171.555555,0.25,0.003,13.12,7.12,28.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.005,14.25,0.004
462299,2366,2024-06-20 01:50:00.000,2024171.576388,0.25,0.004,10.06,6.83,16.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.006,13.11,0.005
462301,2366,2024-06-20 02:20:00.000,2024171.597222,0.25,0.004,11.01,9.73,214.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.007,14.25,0.005
462302,2366,2024-06-20 02:50:00.000,2024171.618055,0.25,0.003,12.29,6.34,209.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.005,11.97,0.004
462304,2366,2024-06-20 03:20:00.000,2024171.638888,0.25,0.003,12.83,6.99,28.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.005,14.82,0.004
