id,sensorId,observationDate,julianDateUTC,verticalPosition,significantWaveHeight,dominantWavePeriod,averageWavePeriod,meanWaveDirection,swellHeight,swellPeriod,swellDirection,windWaveHeight,windWavePeriod,windWaveDirection,frequencyBands,qualityFlag,maxWaveHeight,maxWavePeriod,max10thPercentileHeight
418653,2493,2023-09-21 13:00:00.000,2023264.041666,0.25,0.517,3.31,3.17,265.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.887,5.27,0.657
419301,2493,2023-09-21 15:00:00.000,2023264.125000,0.25,0.519,3.37,3.26,302.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.890,4.69,0.660
418657,2493,2023-09-14 21:30:00.000,2023257.395833,0.25,1.365,4.86,5.17,297.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2.266,6.45,1.735
418658,2493,2023-09-14 22:00:00.000,2023257.416666,0.25,1.296,4.43,4.63,257.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2.169,6.45,1.648
418659,2493,2023-09-14 22:30:00.000,2023257.437500,0.25,1.395,5.04,4.76,247.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2.307,7.03,1.773
418660,2493,2023-09-14 23:00:00.000,2023257.458333,0.25,1.178,4.58,4.74,243.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.966,6.45,1.498
418661,2493,2023-09-14 23:30:00.000,2023257.479166,0.25,1.113,4.32,4.51,253.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.867,5.86,1.415
418662,2493,2023-09-15 00:00:00.000,2023257.500000,0.25,1.191,4.76,4.58,291.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.980,6.45,1.514
418663,2493,2023-09-15 00:30:00.000,2023257.520833,0.25,1.175,4.72,4.56,241.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.954,7.03,1.493
418664,2493,2023-09-15 01:00:00.000,2023257.541666,0.25,0.843,4.00,4.15,223.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.424,5.86,1.072
418665,2493,2023-09-15 01:30:00.000,2023257.562500,0.25,0.999,4.23,4.07,247.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.678,6.45,1.270
418666,2493,2023-09-15 02:00:00.000,2023257.583333,0.25,0.992,4.27,4.12,236.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.665,5.86,1.261
418667,2493,2023-09-15 02:30:00.000,2023257.604166,0.25,0.846,4.12,4.15,221.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.426,5.86,1.076
418668,2493,2023-09-15 03:00:00.000,2023257.625000,0.25,0.650,3.54,3.76,236.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.109,5.86,0.826
418669,2493,2023-09-15 03:30:00.000,2023257.645833,0.25,0.563,3.16,3.20,265.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.971,5.86,0.716
418670,2493,2023-09-15 04:00:00.000,2023257.666666,0.25,0.570,3.11,3.19,243.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.984,5.27,0.725
418671,2493,2023-09-15 04:30:00.000,2023257.687500,0.25,0.577,3.19,3.29,208.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.994,5.27,0.734
418672,2493,2023-09-15 05:00:00.000,2023257.708333,0.25,0.623,3.31,3.34,204.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.069,5.27,0.792
418673,2493,2023-09-15 05:30:00.000,2023257.729166,0.25,0.524,3.16,3.23,275.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.902,6.45,0.666
418674,2493,2023-09-15 06:00:00.000,2023257.750000,0.25,0.497,3.15,3.10,218.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.856,5.86,0.632
418675,2493,2023-09-15 06:30:00.000,2023257.770833,0.25,0.561,3.46,3.32,223.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.960,5.86,0.713
418676,2493,2023-09-15 07:00:00.000,2023257.791666,0.25,0.577,3.42,3.16,212.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.987,7.03,0.733
