id,sensorId,observationDate,julianDateUTC,verticalPosition,significantWaveHeight,dominantWavePeriod,averageWavePeriod,meanWaveDirection,swellHeight,swellPeriod,swellDirection,windWaveHeight,windWavePeriod,windWaveDirection,frequencyBands,qualityFlag,maxWaveHeight,maxWavePeriod,max10thPercentileHeight
449317,3087,2024-02-21 19:17:31.000,2024052.303831,0.50,0.154,6.86,NULL,195.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.245,7.62,0.196
449319,3087,2024-02-21 19:47:31.000,2024052.324664,0.50,0.155,10.53,NULL,228.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.236,11.13,0.197
449321,3087,2024-02-21 20:17:31.000,2024052.345498,0.50,0.132,6.49,NULL,269.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.212,7.03,0.168
449324,3087,2024-02-21 20:47:31.000,2024052.366331,0.50,0.186,3.39,NULL,56.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.319,5.86,0.237
449326,3087,2024-02-21 21:17:31.000,2024052.387164,0.50,0.192,3.17,NULL,54.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.285,8.20,0.244
449329,3087,2024-02-21 21:47:31.000,2024052.407998,0.50,0.184,3.15,NULL,354.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.275,7.03,0.234
449331,3087,2024-02-21 22:17:31.000,2024052.428831,0.50,0.177,3.11,NULL,326.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.304,9.96,0.225
449334,3087,2024-02-21 22:47:31.000,2024052.449664,0.50,0.164,2.97,NULL,354.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.284,8.20,0.208
449336,3087,2024-02-21 23:17:32.000,2024052.470509,0.50,0.196,2.97,NULL,353.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.339,7.62,0.249
449341,3087,2024-02-22 00:17:31.000,2024052.512164,0.50,0.224,2.73,NULL,42.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.392,7.03,0.285
449344,3087,2024-02-22 00:47:31.000,2024052.532998,0.50,0.215,1.58,NULL,190.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.376,7.03,0.274
449346,3087,2024-02-22 01:17:31.000,2024052.553831,0.50,0.216,2.77,NULL,117.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.371,7.03,0.275
449349,3087,2024-02-22 01:47:31.000,2024052.574664,0.50,0.214,2.72,NULL,67.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.388,7.62,0.272
449351,3087,2024-02-22 02:17:31.000,2024052.595498,0.50,0.228,1.92,NULL,119.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.408,4.69,0.290
449354,3087,2024-02-22 02:47:31.000,2024052.616331,0.50,0.232,2.97,NULL,7.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.403,7.62,0.295
449356,3087,2024-02-22 03:17:31.000,2024052.637164,0.50,0.203,2.99,NULL,22.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.355,6.45,0.258
449361,3087,2024-02-22 04:17:31.000,2024052.678831,0.50,0.224,2.04,NULL,153.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.403,7.03,0.285
449364,3087,2024-02-22 04:47:31.000,2024052.699664,0.50,0.221,1.93,NULL,156.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.396,6.45,0.281
449366,3087,2024-02-22 05:17:31.000,2024052.720498,0.50,0.206,4.76,NULL,349.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.342,6.45,0.261
449369,3087,2024-02-22 05:47:31.000,2024052.741331,0.50,0.214,4.01,NULL,339.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.346,7.03,0.272
449371,3087,2024-02-22 06:17:31.000,2024052.762164,0.50,0.207,4.33,NULL,295.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.334,7.03,0.264
449394,3087,2024-02-22 10:47:31.000,2024052.949664,0.50,0.221,5.29,NULL,57.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.366,7.62,0.280
449396,3087,2024-02-22 11:17:32.000,2024052.970509,0.50,0.243,5.26,NULL,281.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.402,9.38,0.309
449399,3087,2024-02-22 11:47:31.000,2024052.991331,0.50,0.204,5.33,NULL,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.337,7.03,0.259
449339,3087,2024-02-21 23:47:31.000,2024052.491331,0.50,0.207,2.81,NULL,6.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.358,4.69,0.263
449374,3087,2024-02-22 06:47:31.000,2024052.782998,0.50,0.213,6.59,NULL,111.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.361,7.62,0.271
449376,3087,2024-02-22 07:17:31.000,2024052.803831,0.50,0.256,5.97,NULL,321.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.419,7.62,0.326
449378,3087,2024-02-22 07:47:31.000,2024052.824664,0.50,0.287,5.71,NULL,343.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.470,7.62,0.365
449381,3087,2024-02-22 08:17:31.000,2024052.845498,0.50,0.301,5.43,NULL,338.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.497,7.62,0.383
449386,3087,2024-02-22 09:17:31.000,2024052.887164,0.50,0.264,5.33,NULL,305.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.437,8.79,0.336
449388,3087,2024-02-22 09:47:31.000,2024052.907998,0.50,0.248,5.13,NULL,342.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.407,7.62,0.315
449391,3087,2024-02-22 10:17:31.000,2024052.928831,0.50,0.272,5.24,NULL,335.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.451,7.62,0.346
449401,3087,2024-02-22 12:17:31.000,2024053.012164,0.50,0.182,5.20,NULL,114.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.299,11.13,0.231
449406,3087,2024-02-22 13:17:31.000,2024053.053831,0.50,0.264,5.17,NULL,7.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.434,8.20,0.335
449444,3087,2024-02-22 20:47:31.000,2024053.366331,0.50,0.289,3.57,NULL,163.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.493,4.69,0.367
449446,3087,2024-02-22 21:17:31.000,2024053.387164,0.50,0.305,3.40,NULL,330.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.521,5.86,0.388
449451,3087,2024-02-22 22:17:31.000,2024053.428831,0.50,0.233,3.51,NULL,273.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.398,5.27,0.296
449454,3087,2024-02-22 22:47:32.000,2024053.449676,0.50,0.224,3.65,NULL,220.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.381,5.86,0.285
449456,3087,2024-02-22 23:17:31.000,2024053.470498,0.50,0.257,3.51,NULL,234.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.381,7.03,0.326
449459,3087,2024-02-22 23:47:31.000,2024053.491331,0.50,0.227,3.44,NULL,16.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.337,5.27,0.289
449461,3087,2024-02-23 00:17:32.000,2024053.512176,0.50,0.249,1.98,NULL,123.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.446,5.86,0.316
449464,3087,2024-02-23 00:47:31.000,2024053.532998,0.50,0.213,1.88,NULL,301.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.380,5.86,0.270
449491,3087,2024-02-23 06:17:31.000,2024053.762164,0.50,0.165,3.65,NULL,73.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.258,7.03,0.210
449504,3087,2024-02-23 09:47:31.000,2024053.907998,0.50,0.213,3.51,NULL,345.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.317,7.62,0.270
449507,3087,2024-02-23 10:47:31.000,2024053.949664,0.50,0.184,3.20,NULL,39.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.316,6.45,0.234
449515,3087,2024-02-23 12:17:41.000,2024054.012280,0.50,0.172,6.38,NULL,275.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.278,7.62,0.219
449573,3087,2024-02-23 23:47:31.000,2024054.491331,0.50,0.358,5.11,NULL,347.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.593,7.62,0.455
449359,3087,2024-02-22 03:47:31.000,2024052.657998,0.50,0.199,2.89,NULL,9.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.327,5.86,0.253
449383,3087,2024-02-22 08:47:31.000,2024052.866331,0.50,0.274,5.15,NULL,14.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.454,8.20,0.349
449404,3087,2024-02-22 12:47:31.000,2024053.032998,0.50,0.242,5.20,NULL,158.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.367,8.79,0.308
449409,3087,2024-02-22 13:47:31.000,2024053.074664,0.50,0.410,2.82,NULL,321.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.712,5.86,0.521
449411,3087,2024-02-22 14:17:31.000,2024053.095498,0.50,0.453,3.16,NULL,296.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.676,6.45,0.576
