id,sensorId,observationDate,julianDateUTC,verticalPosition,windSpeed,windDirection,windGust,qualityFlag,qartodFlags
1001205,3070,2023-08-02 13:44:59.000,2023214.072905,2.00,0.36,163.2,2.80,3,0000-0000-0000
1001206,3070,2023-08-02 13:59:59.000,2023214.083322,2.00,0.37,144.7,2.90,3,0000-0000-0000
1001207,3070,2023-08-02 14:14:58.000,2023214.093727,2.00,0.46,130.2,2.60,3,0000-0000-0000
1001208,3070,2023-08-09 12:31:48.000,2023221.022083,2.00,0.78,276.2,1.80,3,0000-0000-0000
1001209,3070,2023-08-09 13:01:48.000,2023221.042917,2.00,3.31,36.4,4.60,3,0000-0000-0000
1001210,3070,2023-08-09 13:31:48.000,2023221.063750,2.00,3.24,46.8,4.40,3,0000-0000-0000
1001211,3070,2023-08-09 14:01:48.000,2023221.084583,2.00,4.75,27.6,6.10,3,0000-0000-0000
1001212,3070,2023-08-09 14:31:48.000,2023221.105417,2.00,5.61,41.0,7.50,3,0000-0000-0000
1001213,3070,2023-08-09 15:01:48.000,2023221.126250,2.00,6.01,50.1,7.60,3,0000-0000-0000
1001214,3070,2023-08-09 15:31:48.000,2023221.147083,2.00,5.75,35.0,7.50,3,0000-0000-0000
1001215,3070,2023-08-09 16:01:48.000,2023221.167917,2.00,4.84,31.3,6.60,3,0000-0000-0000
1001216,3070,2023-08-09 16:31:48.000,2023221.188750,2.00,4.87,25.1,5.70,3,0000-0000-0000
1001217,3070,2023-08-09 17:01:48.000,2023221.209583,2.00,3.52,63.9,6.10,3,0000-0000-0000
1001218,3070,2023-08-09 17:31:48.000,2023221.230417,2.00,4.12,59.6,5.70,3,0000-0000-0000
1001219,3070,2023-08-09 18:01:48.000,2023221.251250,2.00,3.39,62.3,5.40,3,0000-0000-0000
1001220,3070,2023-08-09 18:31:48.000,2023221.272083,2.00,2.11,37.3,2.80,3,0000-0000-0000
1001221,3070,2023-08-09 19:01:47.000,2023221.292905,2.00,6.57,261.9,8.00,3,0000-0000-0000
1001222,3070,2023-08-09 19:31:48.000,2023221.313750,2.00,5.29,240.8,6.50,3,0000-0000-0000
1001223,3070,2023-08-09 20:01:48.000,2023221.334583,2.00,4.70,229.5,6.30,3,0000-0000-0000
