id,sensorId,observationDate,julianDateUTC,verticalPosition,windSpeed,windDirection,windGust,qualityFlag,qartodFlags
953703,2377,2023-04-06 04:00:00.000,2023095.668055,1.50,3.92,238.0,5.50,3,0000-0000-0000
953712,2377,2023-04-06 04:30:00.000,2023095.688889,1.50,5.53,264.4,7.00,3,0000-0000-0000
953719,2377,2023-04-06 05:00:00.000,2023095.709722,1.50,3.29,276.5,4.33,3,0000-0000-0000
953729,2377,2023-04-06 05:30:00.000,2023095.730555,1.50,3.00,184.4,4.43,3,0000-0000-0000
953736,2377,2023-04-06 06:00:00.000,2023095.751389,1.50,3.44,227.1,4.90,3,0000-0000-0000
953746,2377,2023-04-06 06:30:00.000,2023095.772222,1.50,5.23,252.5,6.70,3,0000-0000-0000
953753,2377,2023-04-06 07:00:00.000,2023095.793055,1.50,4.45,237.1,6.07,3,0000-0000-0000
953763,2377,2023-04-06 07:30:00.000,2023095.813889,1.50,5.63,186.8,7.80,3,0000-0000-0000
953770,2377,2023-04-06 08:00:00.000,2023095.834722,1.50,4.03,162.6,5.00,3,0000-0000-0000
953780,2377,2023-04-06 08:30:00.000,2023095.855555,1.50,0.97,69.5,2.97,3,0000-0000-0000
953786,2377,2023-04-06 09:00:00.000,2023095.876389,1.50,1.33,27.8,2.57,3,0000-0000-0000
953796,2377,2023-04-06 09:30:00.000,2023095.897222,1.50,1.24,334.7,2.20,3,0000-0000-0000
953803,2377,2023-04-06 10:00:00.000,2023095.918055,1.50,1.01,256.7,2.00,3,0000-0000-0000
953813,2377,2023-04-06 10:30:00.000,2023095.938889,1.50,5.55,298.2,8.07,3,0000-0000-0000
953820,2377,2023-04-06 11:00:00.000,2023095.959722,1.50,3.64,298.6,5.43,3,0000-0000-0000
953830,2377,2023-04-06 11:30:00.000,2023095.980555,1.50,3.33,287.5,4.13,3,0000-0000-0000
953863,2377,2023-04-06 12:00:00.000,2023096.001388,1.50,3.54,304.7,4.70,3,0000-0000-0000
953864,2377,2023-04-06 12:30:00.000,2023096.022222,1.50,4.00,342.7,5.60,3,0000-0000-0000
953865,2377,2023-04-06 13:00:00.000,2023096.043055,1.50,1.76,224.5,3.00,3,0000-0000-0000
953866,2377,2023-04-06 13:30:00.000,2023096.063888,1.50,0.98,43.4,1.97,3,0000-0000-0000
953870,2377,2023-04-06 14:00:00.000,2023096.084722,1.50,1.31,151.7,1.93,3,0000-0000-0000
953880,2377,2023-04-06 14:30:00.000,2023096.105555,1.50,2.87,124.6,3.70,3,0000-0000-0000
953886,2377,2023-04-06 15:00:00.000,2023096.126388,1.50,2.03,166.2,4.57,3,0000-0000-0000
953897,2377,2023-04-06 15:30:00.000,2023096.147222,1.50,6.18,168.6,9.17,3,0000-0000-0000
953904,2377,2023-04-06 16:00:00.000,2023096.168055,1.50,8.46,218.1,9.90,3,0000-0000-0000
953913,2377,2023-04-06 16:30:00.000,2023096.188888,1.50,5.38,214.3,7.20,3,0000-0000-0000
953918,2377,2023-04-06 17:00:00.000,2023096.209722,1.50,3.78,206.9,5.50,3,0000-0000-0000
953930,2377,2023-04-06 17:30:00.000,2023096.230555,1.50,6.52,144.9,8.20,3,0000-0000-0000
953937,2377,2023-04-06 18:00:00.000,2023096.251388,1.50,8.64,142.4,10.47,3,0000-0000-0000
953947,2377,2023-04-06 18:30:00.000,2023096.272222,1.50,9.87,149.8,11.57,3,0000-0000-0000
953953,2377,2023-04-06 19:00:00.000,2023096.293055,1.50,8.34,133.3,10.47,3,0000-0000-0000
953963,2377,2023-04-06 19:30:00.000,2023096.313888,1.50,10.03,164.5,11.73,3,0000-0000-0000
953970,2377,2023-04-06 20:00:00.000,2023096.334722,1.50,9.61,141.8,13.90,3,0000-0000-0000
953981,2377,2023-04-06 20:30:00.000,2023096.355555,1.50,10.76,158.5,12.73,3,0000-0000-0000
953987,2377,2023-04-06 21:00:00.000,2023096.376388,1.50,10.38,158.9,13.20,3,0000-0000-0000
953997,2377,2023-04-06 21:30:00.000,2023096.397222,1.50,9.96,169.0,13.70,3,0000-0000-0000
954004,2377,2023-04-06 22:00:00.000,2023096.418055,1.50,11.95,186.0,15.47,3,0000-0000-0000
954014,2377,2023-04-06 22:30:00.000,2023096.438888,1.50,13.34,178.4,16.00,3,0000-0000-0000
954020,2377,2023-04-06 23:00:00.000,2023096.459722,1.50,12.18,177.4,14.67,3,0000-0000-0000
954030,2377,2023-04-06 23:30:00.000,2023096.480555,1.50,12.87,187.5,15.60,3,0000-0000-0000
954038,2377,2023-04-07 00:00:00.000,2023096.501388,1.50,9.51,187.1,13.10,3,0000-0000-0000
954048,2377,2023-04-07 00:30:00.000,2023096.522222,1.50,15.57,170.3,20.83,3,0000-0000-0000
954055,2377,2023-04-07 01:00:00.000,2023096.543055,1.50,16.11,158.3,21.37,3,0000-0000-0000
954065,2377,2023-04-07 01:30:00.000,2023096.563888,1.50,14.45,165.6,18.90,3,0000-0000-0000
954072,2377,2023-04-07 02:00:00.000,2023096.584722,1.50,15.94,158.0,19.93,3,0000-0000-0000
954081,2377,2023-04-07 02:30:00.000,2023096.605555,1.50,15.16,164.7,18.37,3,0000-0000-0000
954089,2377,2023-04-07 03:00:00.000,2023096.626388,1.50,14.37,171.7,18.07,3,0000-0000-0000
954099,2377,2023-04-07 03:30:00.000,2023096.647222,1.50,13.28,165.5,18.37,3,0000-0000-0000
954105,2377,2023-04-07 04:00:00.000,2023096.668055,1.50,20.26,155.3,25.83,3,0000-0000-0000
954115,2377,2023-04-07 04:30:00.000,2023096.688889,1.50,18.54,157.2,25.10,3,0000-0000-0000
954122,2377,2023-04-07 05:00:00.000,2023096.709722,1.50,22.10,151.7,30.30,3,0000-0000-0000
954135,2377,2023-04-07 05:30:00.000,2023096.730555,1.50,21.86,135.9,28.50,3,0000-0000-0000
954141,2377,2023-04-07 06:00:00.000,2023096.751389,1.50,20.26,145.9,26.53,3,0000-0000-0000
954152,2377,2023-04-07 06:30:00.000,2023096.772222,1.50,18.36,149.2,22.10,3,0000-0000-0000
954158,2377,2023-04-07 07:00:00.000,2023096.793055,1.50,17.37,142.3,25.10,3,0000-0000-0000
954168,2377,2023-04-07 07:30:00.000,2023096.813889,1.50,17.63,144.8,23.50,3,0000-0000-0000
954175,2377,2023-04-07 08:00:00.000,2023096.834722,1.50,19.37,154.0,23.63,3,0000-0000-0000
954184,2377,2023-04-07 08:30:00.000,2023096.855555,1.50,17.94,158.0,22.37,3,0000-0000-0000
954191,2377,2023-04-07 09:00:00.000,2023096.876389,1.50,19.04,156.6,23.73,3,0000-0000-0000
954201,2377,2023-04-07 09:30:00.000,2023096.897222,1.50,21.09,154.4,26.13,3,0000-0000-0000
954208,2377,2023-04-07 10:00:00.000,2023096.918055,1.50,20.59,155.0,25.37,3,0000-0000-0000
954219,2377,2023-04-07 10:30:00.000,2023096.938889,1.50,21.93,153.1,26.90,3,0000-0000-0000
954225,2377,2023-04-07 11:00:00.000,2023096.959722,1.50,20.16,153.3,26.30,3,0000-0000-0000
954235,2377,2023-04-07 11:30:00.000,2023096.980555,1.50,22.89,148.3,29.03,3,0000-0000-0000
954255,2377,2023-04-07 12:00:00.000,2023097.001388,1.50,21.16,165.6,25.40,3,0000-0000-0000
954256,2377,2023-04-07 12:30:00.000,2023097.022222,1.50,21.26,165.8,26.37,3,0000-0000-0000
954259,2377,2023-04-07 13:00:00.000,2023097.043055,1.50,24.50,155.0,31.60,3,0000-0000-0000
954269,2377,2023-04-07 13:30:00.000,2023097.063888,1.50,22.54,164.3,27.43,3,0000-0000-0000
