id,sensorId,observationDate,julianDateUTC,verticalPosition,windSpeed,windDirection,windGust,qualityFlag,qartodFlags
954595,2504,2023-04-08 03:30:00.000,2023097.646527,1.50,8.53,194.0,9.93,3,0000-0000-0000
954596,2504,2023-04-08 04:00:00.000,2023097.667361,1.50,8.79,194.7,10.30,3,0000-0000-0000
954597,2504,2023-04-08 04:30:00.000,2023097.688194,1.50,6.54,193.3,8.30,3,0000-0000-0000
954598,2504,2023-04-08 05:00:00.000,2023097.709027,1.50,9.70,189.4,6.40,3,0000-0000-0000
954599,2504,2023-04-08 05:30:00.000,2023097.729861,1.50,8.20,183.8,8.97,3,0000-0000-0000
954600,2504,2023-04-08 06:00:00.000,2023097.750694,1.50,11.88,191.5,14.13,3,0000-0000-0000
954601,2504,2023-04-08 06:30:00.000,2023097.771527,1.50,11.40,191.1,12.63,3,0000-0000-0000
954602,2504,2023-04-08 07:00:00.000,2023097.792361,1.50,10.64,183.5,12.87,3,0000-0000-0000
954603,2504,2023-04-08 07:30:00.000,2023097.813194,1.50,10.17,197.2,12.20,3,0000-0000-0000
954604,2504,2023-04-08 08:00:00.000,2023097.834027,1.50,10.18,189.1,12.87,3,0000-0000-0000
954605,2504,2023-04-08 08:30:00.000,2023097.854861,1.50,7.20,165.2,9.10,3,0000-0000-0000
954606,2504,2023-04-08 09:00:00.000,2023097.875694,1.50,9.80,153.1,11.50,3,0000-0000-0000
954617,2504,2023-04-08 09:30:00.000,2023097.896527,1.50,10.80,115.4,12.00,3,0000-0000-0000
954625,2504,2023-04-08 10:00:00.000,2023097.917361,1.50,16.18,94.0,19.60,3,0000-0000-0000
954635,2504,2023-04-08 10:30:00.000,2023097.938194,1.50,14.58,92.4,16.93,3,0000-0000-0000
954644,2504,2023-04-08 11:00:00.000,2023097.959027,1.50,13.21,101.1,16.10,3,0000-0000-0000
954655,2504,2023-04-08 11:30:00.000,2023097.979861,1.50,14.77,101.7,16.93,3,0000-0000-0000
954663,2504,2023-04-08 12:00:00.000,2023098.000694,1.50,13.19,155.5,16.30,3,0000-0000-0000
954671,2504,2023-04-08 12:30:00.000,2023098.021527,1.50,13.56,127.6,17.60,3,0000-0000-0000
954679,2504,2023-04-08 13:00:00.000,2023098.042361,1.50,15.45,104.7,17.70,3,0000-0000-0000
954692,2504,2023-04-08 13:30:00.000,2023098.063194,1.50,15.97,92.3,18.57,3,0000-0000-0000
954700,2504,2023-04-08 14:00:00.000,2023098.084027,1.50,18.38,105.8,20.47,3,0000-0000-0000
954710,2504,2023-04-08 14:30:00.000,2023098.104861,1.50,20.24,79.5,22.67,3,0000-0000-0000
954718,2504,2023-04-08 15:00:00.000,2023098.125694,1.50,16.99,86.9,20.53,3,0000-0000-0000
954729,2504,2023-04-08 15:30:00.000,2023098.146527,1.50,18.77,81.5,19.97,3,0000-0000-0000
954737,2504,2023-04-08 16:00:00.000,2023098.167361,1.50,14.76,100.0,16.47,3,0000-0000-0000
954749,2504,2023-04-08 16:30:00.000,2023098.188194,1.50,14.18,108.4,16.80,3,0000-0000-0000
954757,2504,2023-04-08 17:00:00.000,2023098.209027,1.50,15.57,96.1,16.90,3,0000-0000-0000
954768,2504,2023-04-08 17:30:00.000,2023098.229861,1.50,14.53,108.7,17.57,3,0000-0000-0000
954775,2504,2023-04-08 18:00:00.000,2023098.250694,1.50,13.18,104.3,16.90,3,0000-0000-0000
954782,2504,2023-04-08 18:30:00.000,2023098.271527,1.50,13.43,108.3,16.20,3,0000-0000-0000
954789,2504,2023-04-08 19:00:00.000,2023098.292361,1.50,15.24,90.0,18.43,3,0000-0000-0000
954802,2504,2023-04-08 19:30:00.000,2023098.313194,1.50,16.14,94.5,18.40,3,0000-0000-0000
954810,2504,2023-04-08 20:00:00.000,2023098.334027,1.50,18.19,84.3,20.17,3,0000-0000-0000
954822,2504,2023-04-08 20:30:00.000,2023098.354861,1.50,16.94,86.4,19.20,3,0000-0000-0000
954830,2504,2023-04-08 21:00:00.000,2023098.375694,1.50,16.91,93.4,19.67,3,0000-0000-0000
954841,2504,2023-04-08 21:30:00.000,2023098.396527,1.50,13.89,109.7,17.10,3,0000-0000-0000
954849,2504,2023-04-08 22:00:00.000,2023098.417361,1.50,14.53,111.9,18.20,3,0000-0000-0000
954860,2504,2023-04-08 22:30:00.000,2023098.438194,1.50,12.61,121.0,15.70,3,0000-0000-0000
954868,2504,2023-04-08 23:00:00.000,2023098.459027,1.50,10.80,118.4,12.33,3,0000-0000-0000
954879,2504,2023-04-08 23:30:00.000,2023098.479861,1.50,12.29,125.1,14.13,3,0000-0000-0000
954887,2504,2023-04-09 00:00:00.000,2023098.500694,1.50,11.29,144.2,13.67,3,0000-0000-0000
954898,2504,2023-04-09 00:30:00.000,2023098.521527,1.50,13.66,184.6,15.33,3,0000-0000-0000
954905,2504,2023-04-09 01:00:00.000,2023098.542361,1.50,11.78,196.8,13.70,3,0000-0000-0000
954917,2504,2023-04-09 01:30:00.000,2023098.563194,1.50,6.94,180.9,10.43,3,0000-0000-0000
954925,2504,2023-04-09 02:00:00.000,2023098.584027,1.50,13.04,200.4,14.77,3,0000-0000-0000
954936,2504,2023-04-09 02:30:00.000,2023098.604861,1.50,16.35,203.1,18.13,3,0000-0000-0000
954944,2504,2023-04-09 03:00:00.000,2023098.625694,1.50,11.97,195.4,15.00,3,0000-0000-0000
954955,2504,2023-04-09 03:30:00.000,2023098.646527,1.50,10.81,204.0,13.00,3,0000-0000-0000
954962,2504,2023-04-09 04:00:00.000,2023098.667361,1.50,11.19,212.3,13.27,3,0000-0000-0000
954973,2504,2023-04-09 04:30:00.000,2023098.688194,1.50,7.25,133.0,10.17,3,0000-0000-0000
954981,2504,2023-04-09 05:00:00.000,2023098.709027,1.50,13.20,104.1,9.63,3,0000-0000-0000
954992,2504,2023-04-09 05:30:00.000,2023098.729861,1.50,12.88,105.3,13.90,3,0000-0000-0000
955000,2504,2023-04-09 06:00:00.000,2023098.750694,1.50,12.52,103.9,14.03,3,0000-0000-0000
955011,2504,2023-04-09 06:30:00.000,2023098.771527,1.50,10.78,116.7,13.80,3,0000-0000-0000
955018,2504,2023-04-09 07:00:00.000,2023098.792361,1.50,14.79,96.7,16.50,3,0000-0000-0000
955027,2504,2023-04-09 07:30:00.000,2023098.813194,1.50,12.12,97.9,13.73,3,0000-0000-0000
955038,2504,2023-04-09 08:00:00.000,2023098.834027,1.50,15.53,96.8,18.80,3,0000-0000-0000
955049,2504,2023-04-09 08:30:00.000,2023098.854861,1.50,11.39,105.6,15.93,3,0000-0000-0000
955859,2504,2023-04-11 03:30:00.000,2023100.646527,1.50,7.22,329.9,10.80,3,0000-0000-0000
955860,2504,2023-04-11 04:00:00.000,2023100.667361,1.50,6.87,343.1,8.37,3,0000-0000-0000
955861,2504,2023-04-11 04:30:00.000,2023100.688194,1.50,5.05,293.7,6.63,3,0000-0000-0000
955862,2504,2023-04-11 05:00:00.000,2023100.709027,1.50,6.11,342.6,8.43,3,0000-0000-0000
955863,2504,2023-04-11 05:30:00.000,2023100.729861,1.50,12.65,292.3,15.80,3,0000-0000-0000
955864,2504,2023-04-11 06:00:00.000,2023100.750694,1.50,12.90,300.4,14.90,3,0000-0000-0000
955865,2504,2023-04-11 06:30:00.000,2023100.771527,1.50,1.87,263.8,9.70,3,0000-0000-0000
955866,2504,2023-04-11 07:00:00.000,2023100.792361,1.50,9.23,326.3,11.63,3,0000-0000-0000
955867,2504,2023-04-11 07:30:00.000,2023100.813194,1.50,10.47,339.1,11.83,3,0000-0000-0000
955868,2504,2023-04-11 08:00:00.000,2023100.834027,1.50,10.70,305.1,11.07,3,0000-0000-0000
955869,2504,2023-04-11 08:30:00.000,2023100.854861,1.50,9.60,324.7,11.00,3,0000-0000-0000
955870,2504,2023-04-11 09:00:00.000,2023100.875694,1.50,12.62,334.5,14.73,3,0000-0000-0000
955880,2504,2023-04-11 09:30:00.000,2023100.896527,1.50,11.26,347.9,14.10,3,0000-0000-0000
955886,2504,2023-04-11 10:00:00.000,2023100.917361,1.50,14.75,340.7,17.07,3,0000-0000-0000
955896,2504,2023-04-11 10:30:00.000,2023100.938194,1.50,18.61,335.9,22.47,3,0000-0000-0000
955903,2504,2023-04-11 11:00:00.000,2023100.959027,1.50,17.61,345.1,19.87,3,0000-0000-0000
955913,2504,2023-04-11 11:30:00.000,2023100.979861,1.50,18.15,332.5,20.20,3,0000-0000-0000
955923,2504,2023-04-11 12:00:00.000,2023101.000694,1.50,18.61,340.1,20.60,3,0000-0000-0000
955934,2504,2023-04-11 12:30:00.000,2023101.021527,1.50,14.21,330.4,17.90,3,0000-0000-0000
955942,2504,2023-04-11 13:00:00.000,2023101.042361,1.50,14.08,342.9,17.00,3,0000-0000-0000
955953,2504,2023-04-11 13:30:00.000,2023101.063194,1.50,9.88,323.7,11.90,3,0000-0000-0000
955960,2504,2023-04-11 14:00:00.000,2023101.084027,1.50,16.24,357.3,19.10,3,0000-0000-0000
955970,2504,2023-04-11 14:30:00.000,2023101.104861,1.50,13.55,355.9,16.27,3,0000-0000-0000
955979,2504,2023-04-11 15:00:00.000,2023101.125694,1.50,13.70,355.3,15.43,3,0000-0000-0000
955991,2504,2023-04-11 15:30:00.000,2023101.146527,1.50,12.05,355.8,14.83,3,0000-0000-0000
955999,2504,2023-04-11 16:00:00.000,2023101.167361,1.50,11.98,347.1,13.53,3,0000-0000-0000
956010,2504,2023-04-11 16:30:00.000,2023101.188194,1.50,12.70,338.8,13.13,3,0000-0000-0000
956017,2504,2023-04-11 17:00:00.000,2023101.209027,1.50,11.51,328.3,12.33,3,0000-0000-0000
956028,2504,2023-04-11 17:30:00.000,2023101.229861,1.50,11.30,344.1,11.60,3,0000-0000-0000
956036,2504,2023-04-11 18:00:00.000,2023101.250694,1.50,10.98,9.8,13.77,3,0000-0000-0000
956047,2504,2023-04-11 18:30:00.000,2023101.271527,1.50,11.12,337.7,16.23,3,0000-0000-0000
956055,2504,2023-04-11 19:00:00.000,2023101.292361,1.50,5.20,337.8,7.73,3,0000-0000-0000
956067,2504,2023-04-11 19:30:00.000,2023101.313194,1.50,16.16,2.1,18.53,3,0000-0000-0000
956074,2504,2023-04-11 20:00:00.000,2023101.334027,1.50,11.85,300.7,16.40,3,0000-0000-0000
956086,2504,2023-04-11 20:30:00.000,2023101.354861,1.50,9.27,278.5,12.50,3,0000-0000-0000
956094,2504,2023-04-11 21:00:00.000,2023101.375694,1.50,7.82,303.2,10.07,3,0000-0000-0000
956105,2504,2023-04-11 21:30:00.000,2023101.396527,1.50,8.43,269.4,11.33,3,0000-0000-0000
956112,2504,2023-04-11 22:00:00.000,2023101.417361,1.50,7.86,223.3,10.47,3,0000-0000-0000
956123,2504,2023-04-11 22:30:00.000,2023101.438194,1.50,7.69,227.9,8.97,3,0000-0000-0000
956131,2504,2023-04-11 23:00:00.000,2023101.459027,1.50,6.13,213.7,7.27,3,0000-0000-0000
956142,2504,2023-04-11 23:30:00.000,2023101.479861,1.50,8.35,220.1,9.37,3,0000-0000-0000
956150,2504,2023-04-12 00:00:00.000,2023101.500694,1.50,8.38,218.5,9.33,3,0000-0000-0000
956161,2504,2023-04-12 00:30:00.000,2023101.521527,1.50,9.53,224.6,11.60,3,0000-0000-0000
956170,2504,2023-04-12 01:00:00.000,2023101.542361,1.50,7.96,222.9,9.73,3,0000-0000-0000
956180,2504,2023-04-12 01:30:00.000,2023101.563194,1.50,4.46,200.3,6.90,3,0000-0000-0000
956188,2504,2023-04-12 02:00:00.000,2023101.584027,1.50,3.78,211.2,5.00,3,0000-0000-0000
956199,2504,2023-04-12 02:30:00.000,2023101.604861,1.50,7.26,199.4,8.70,3,0000-0000-0000
956205,2504,2023-04-12 03:00:00.000,2023101.625694,1.50,9.76,194.6,11.40,3,0000-0000-0000
956218,2504,2023-04-12 03:30:00.000,2023101.646527,1.50,4.99,235.6,7.97,3,0000-0000-0000
956226,2504,2023-04-12 04:00:00.000,2023101.667361,1.50,12.48,219.5,15.77,3,0000-0000-0000
956236,2504,2023-04-12 04:30:00.000,2023101.688194,1.50,7.99,209.8,10.83,3,0000-0000-0000
956243,2504,2023-04-12 05:00:00.000,2023101.709027,1.50,5.42,243.6,7.97,3,0000-0000-0000
956254,2504,2023-04-12 05:30:00.000,2023101.729861,1.50,7.06,261.3,9.50,3,0000-0000-0000
956262,2504,2023-04-12 06:00:00.000,2023101.750694,1.50,5.23,287.9,6.43,3,0000-0000-0000
956273,2504,2023-04-12 06:30:00.000,2023101.771527,1.50,3.19,274.0,4.67,3,0000-0000-0000
956281,2504,2023-04-12 07:00:00.000,2023101.792361,1.50,2.77,301.4,3.80,3,0000-0000-0000
956290,2504,2023-04-12 07:30:00.000,2023101.813194,1.50,4.81,243.7,6.50,3,0000-0000-0000
956301,2504,2023-04-12 08:00:00.000,2023101.834027,1.50,4.14,208.1,5.17,3,0000-0000-0000
956312,2504,2023-04-12 08:30:00.000,2023101.854861,1.50,5.79,210.2,7.33,3,0000-0000-0000
956725,2504,2023-04-13 03:30:00.000,2023102.646527,1.50,6.41,164.4,7.47,3,0000-0000-0000
956726,2504,2023-04-13 04:00:00.000,2023102.667361,1.50,5.93,191.1,6.80,3,0000-0000-0000
956727,2504,2023-04-13 04:30:00.000,2023102.688194,1.50,6.44,196.4,7.40,3,0000-0000-0000
956728,2504,2023-04-13 05:00:00.000,2023102.709027,1.50,6.66,181.8,7.33,3,0000-0000-0000
956729,2504,2023-04-13 05:30:00.000,2023102.729861,1.50,5.68,182.5,6.73,3,0000-0000-0000
956730,2504,2023-04-13 06:00:00.000,2023102.750694,1.50,5.64,174.7,6.73,3,0000-0000-0000
956731,2504,2023-04-13 06:30:00.000,2023102.771527,1.50,10.24,123.8,11.63,3,0000-0000-0000
956732,2504,2023-04-13 07:00:00.000,2023102.792361,1.50,9.40,104.5,11.50,3,0000-0000-0000
956733,2504,2023-04-13 07:30:00.000,2023102.813194,1.50,9.20,92.8,11.77,3,0000-0000-0000
956734,2504,2023-04-13 08:00:00.000,2023102.834027,1.50,10.19,67.8,11.20,3,0000-0000-0000
956735,2504,2023-04-13 08:30:00.000,2023102.854861,1.50,13.35,98.7,16.17,3,0000-0000-0000
956736,2504,2023-04-13 09:00:00.000,2023102.875694,1.50,11.02,136.3,15.60,3,0000-0000-0000
956746,2504,2023-04-13 09:30:00.000,2023102.896527,1.50,8.67,132.3,10.10,3,0000-0000-0000
956754,2504,2023-04-13 10:00:00.000,2023102.917361,1.50,6.56,155.0,8.47,3,0000-0000-0000
956764,2504,2023-04-13 10:30:00.000,2023102.938194,1.50,4.90,179.4,6.87,3,0000-0000-0000
956773,2504,2023-04-13 11:00:00.000,2023102.959027,1.50,8.47,163.7,10.03,3,0000-0000-0000
956783,2504,2023-04-13 11:30:00.000,2023102.979861,1.50,7.47,171.2,8.27,3,0000-0000-0000
956793,2504,2023-04-13 12:00:00.000,2023103.000694,1.50,3.72,142.8,6.10,3,0000-0000-0000
956804,2504,2023-04-13 12:30:00.000,2023103.021527,1.50,6.25,173.1,8.60,3,0000-0000-0000
956812,2504,2023-04-13 13:00:00.000,2023103.042361,1.50,5.06,179.2,6.50,3,0000-0000-0000
956823,2504,2023-04-13 13:30:00.000,2023103.063194,1.50,7.71,162.8,8.30,3,0000-0000-0000
956831,2504,2023-04-13 14:00:00.000,2023103.084027,1.50,7.49,173.1,8.50,3,0000-0000-0000
956842,2504,2023-04-13 14:30:00.000,2023103.104861,1.50,3.81,185.1,6.23,3,0000-0000-0000
956850,2504,2023-04-13 15:00:00.000,2023103.125694,1.50,5.78,157.6,7.80,3,0000-0000-0000
956861,2504,2023-04-13 15:30:00.000,2023103.146527,1.50,4.17,146.1,5.83,3,0000-0000-0000
956869,2504,2023-04-13 16:00:00.000,2023103.167361,1.50,6.11,115.1,7.23,3,0000-0000-0000
956880,2504,2023-04-13 16:30:00.000,2023103.188194,1.50,8.11,121.5,9.03,3,0000-0000-0000
956888,2504,2023-04-13 17:00:00.000,2023103.209027,1.50,7.71,114.5,8.50,3,0000-0000-0000
956899,2504,2023-04-13 17:30:00.000,2023103.229861,1.50,5.96,126.4,6.97,3,0000-0000-0000
956906,2504,2023-04-13 18:00:00.000,2023103.250694,1.50,7.96,137.2,9.63,3,0000-0000-0000
956917,2504,2023-04-13 18:30:00.000,2023103.271527,1.50,7.69,120.4,8.80,3,0000-0000-0000
956925,2504,2023-04-13 19:00:00.000,2023103.292361,1.50,7.29,120.2,8.70,3,0000-0000-0000
956937,2504,2023-04-13 19:30:00.000,2023103.313194,1.50,10.24,117.9,11.93,3,0000-0000-0000
956945,2504,2023-04-13 20:00:00.000,2023103.334027,1.50,11.87,110.6,13.83,3,0000-0000-0000
956955,2504,2023-04-13 20:30:00.000,2023103.354861,1.50,15.19,102.4,18.73,3,0000-0000-0000
956962,2504,2023-04-13 21:00:00.000,2023103.375694,1.50,11.57,123.8,14.90,3,0000-0000-0000
956973,2504,2023-04-13 21:30:00.000,2023103.396527,1.50,11.22,126.0,13.23,3,0000-0000-0000
956981,2504,2023-04-13 22:00:00.000,2023103.417361,1.50,9.64,122.6,12.10,3,0000-0000-0000
956992,2504,2023-04-13 22:30:00.000,2023103.438194,1.50,11.06,118.3,13.00,3,0000-0000-0000
957000,2504,2023-04-13 23:00:00.000,2023103.459027,1.50,8.22,116.0,10.03,3,0000-0000-0000
957011,2504,2023-04-13 23:30:00.000,2023103.479861,1.50,11.38,114.2,13.60,3,0000-0000-0000
957018,2504,2023-04-14 00:00:00.000,2023103.500694,1.50,10.44,111.4,11.93,3,0000-0000-0000
957028,2504,2023-04-14 00:30:00.000,2023103.521527,1.50,9.79,108.9,10.77,3,0000-0000-0000
957036,2504,2023-04-14 01:00:00.000,2023103.542361,1.50,13.44,102.2,15.93,3,0000-0000-0000
957048,2504,2023-04-14 01:30:00.000,2023103.563194,1.50,12.84,113.9,13.83,3,0000-0000-0000
957056,2504,2023-04-14 02:00:00.000,2023103.584027,1.50,10.98,117.7,12.53,3,0000-0000-0000
957067,2504,2023-04-14 02:30:00.000,2023103.604861,1.50,13.18,108.5,15.30,3,0000-0000-0000
957075,2504,2023-04-14 03:00:00.000,2023103.625694,1.50,10.61,117.0,11.77,3,0000-0000-0000
957087,2504,2023-04-14 03:30:00.000,2023103.646527,1.50,14.43,103.5,17.13,3,0000-0000-0000
957095,2504,2023-04-14 04:00:00.000,2023103.667361,1.50,13.86,112.1,16.33,3,0000-0000-0000
957106,2504,2023-04-14 04:30:00.000,2023103.688194,1.50,13.00,126.7,14.83,3,0000-0000-0000
957114,2504,2023-04-14 05:00:00.000,2023103.709027,1.50,10.94,109.1,12.47,3,0000-0000-0000
957125,2504,2023-04-14 05:30:00.000,2023103.729861,1.50,16.78,136.0,21.57,3,0000-0000-0000
957132,2504,2023-04-14 06:00:00.000,2023103.750694,1.50,13.49,113.3,18.93,3,0000-0000-0000
957143,2504,2023-04-14 06:30:00.000,2023103.771527,1.50,11.19,123.2,12.53,3,0000-0000-0000
957150,2504,2023-04-14 07:00:00.000,2023103.792361,1.50,11.80,133.8,11.00,3,0000-0000-0000
957161,2504,2023-04-14 07:30:00.000,2023103.813194,1.50,17.10,131.8,13.27,3,0000-0000-0000
957169,2504,2023-04-14 08:00:00.000,2023103.834027,1.50,12.27,119.4,15.50,3,0000-0000-0000
957180,2504,2023-04-14 08:30:00.000,2023103.854861,1.50,15.46,111.9,18.57,3,0000-0000-0000
957187,2504,2023-04-14 09:00:00.000,2023103.875694,1.50,15.55,105.8,17.03,3,0000-0000-0000
957197,2504,2023-04-14 09:30:00.000,2023103.896527,1.50,13.53,105.0,16.03,3,0000-0000-0000
