time,speed,gust,direction,dataType,region
2023-04-06T04:00:00.000Z,3.92,5.5,238.0,winddata,bop
2023-04-06T04:30:00.000Z,5.53,7.0,264.4,winddata,bop
2023-04-06T05:00:00.000Z,3.29,4.33,276.5,winddata,bop
2023-04-06T05:30:00.000Z,3.0,4.43,184.4,winddata,bop
2023-04-06T06:00:00.000Z,3.44,4.9,227.1,winddata,bop
2023-04-06T06:30:00.000Z,5.23,6.7,252.5,winddata,bop
2023-04-06T07:00:00.000Z,4.45,6.07,237.1,winddata,bop
2023-04-06T07:30:00.000Z,5.63,7.8,186.8,winddata,bop
2023-04-06T08:00:00.000Z,4.03,5.0,162.6,winddata,bop
2023-04-06T08:30:00.000Z,0.97,2.97,69.5,winddata,bop
2023-04-06T09:00:00.000Z,1.33,2.57,27.8,winddata,bop
2023-04-06T09:30:00.000Z,1.24,2.2,334.7,winddata,bop
2023-04-06T10:00:00.000Z,1.01,2.0,256.7,winddata,bop
2023-04-06T10:30:00.000Z,5.55,8.07,298.2,winddata,bop
2023-04-06T11:00:00.000Z,3.64,5.43,298.6,winddata,bop
2023-04-06T11:30:00.000Z,3.33,4.13,287.5,winddata,bop
2023-04-06T12:00:00.000Z,3.54,4.7,304.7,winddata,bop
2023-04-06T12:30:00.000Z,4.0,5.6,342.7,winddata,bop
2023-04-06T13:00:00.000Z,1.76,3.0,224.5,winddata,bop
2023-04-06T13:30:00.000Z,0.98,1.97,43.4,winddata,bop
2023-04-06T14:00:00.000Z,1.31,1.93,151.7,winddata,bop
2023-04-06T14:30:00.000Z,2.87,3.7,124.6,winddata,bop
2023-04-06T15:00:00.000Z,2.03,4.57,166.2,winddata,bop
2023-04-06T15:30:00.000Z,6.18,9.17,168.6,winddata,bop
2023-04-06T16:00:00.000Z,8.46,9.9,218.1,winddata,bop
2023-04-06T16:30:00.000Z,5.38,7.2,214.3,winddata,bop
2023-04-06T17:00:00.000Z,3.78,5.5,206.9,winddata,bop
2023-04-06T17:30:00.000Z,6.52,8.2,144.9,winddata,bop
2023-04-06T18:00:00.000Z,8.64,10.47,142.4,winddata,bop
2023-04-06T18:30:00.000Z,9.87,11.57,149.8,winddata,bop
2023-04-06T19:00:00.000Z,8.34,10.47,133.3,winddata,bop
2023-04-06T19:30:00.000Z,10.03,11.73,164.5,winddata,bop
2023-04-06T20:00:00.000Z,9.61,13.9,141.8,winddata,bop
2023-04-06T20:30:00.000Z,10.76,12.73,158.5,winddata,bop
2023-04-06T21:00:00.000Z,10.38,13.2,158.9,winddata,bop
2023-04-06T21:30:00.000Z,9.96,13.7,169.0,winddata,bop
2023-04-06T22:00:00.000Z,11.95,15.47,186.0,winddata,bop
2023-04-06T22:30:00.000Z,13.34,16.0,178.4,winddata,bop
2023-04-06T23:00:00.000Z,12.18,14.67,177.4,winddata,bop
2023-04-06T23:30:00.000Z,12.87,15.6,187.5,winddata,bop
2023-04-07T00:00:00.000Z,9.51,13.1,187.1,winddata,bop
2023-04-07T00:30:00.000Z,15.57,20.83,170.3,winddata,bop
2023-04-07T01:00:00.000Z,16.11,21.37,158.3,winddata,bop
2023-04-07T01:30:00.000Z,14.45,18.9,165.6,winddata,bop
2023-04-07T02:00:00.000Z,15.94,19.93,158.0,winddata,bop
2023-04-07T02:30:00.000Z,15.16,18.37,164.7,winddata,bop
2023-04-07T03:00:00.000Z,14.37,18.07,171.7,winddata,bop
2023-04-07T03:30:00.000Z,13.28,18.37,165.5,winddata,bop
2023-04-07T04:00:00.000Z,20.26,25.83,155.3,winddata,bop
2023-04-07T04:30:00.000Z,18.54,25.1,157.2,winddata,bop
2023-04-07T05:00:00.000Z,22.1,30.3,151.7,winddata,bop
2023-04-07T05:30:00.000Z,21.86,28.5,135.9,winddata,bop
2023-04-07T06:00:00.000Z,20.26,26.53,145.9,winddata,bop
2023-04-07T06:30:00.000Z,18.36,22.1,149.2,winddata,bop
2023-04-07T07:00:00.000Z,17.37,25.1,142.3,winddata,bop
2023-04-07T07:30:00.000Z,17.63,23.5,144.8,winddata,bop
2023-04-07T08:00:00.000Z,19.37,23.63,154.0,winddata,bop
2023-04-07T08:30:00.000Z,17.94,22.37,158.0,winddata,bop
2023-04-07T09:00:00.000Z,19.04,23.73,156.6,winddata,bop
2023-04-07T09:30:00.000Z,21.09,26.13,154.4,winddata,bop
2023-04-07T10:00:00.000Z,20.59,25.37,155.0,winddata,bop
2023-04-07T10:30:00.000Z,21.93,26.9,153.1,winddata,bop
2023-04-07T11:00:00.000Z,20.16,26.3,153.3,winddata,bop
2023-04-07T11:30:00.000Z,22.89,29.03,148.3,winddata,bop
2023-04-07T12:00:00.000Z,21.16,25.4,165.6,winddata,bop
2023-04-07T12:30:00.000Z,21.26,26.37,165.8,winddata,bop
2023-04-07T13:00:00.000Z,24.5,31.6,155.0,winddata,bop
2023-04-07T13:30:00.000Z,22.54,27.43,164.3,winddata,bop
2023-04-07T14:00:00.000Z,21.36,28.3,171.5,winddata,bop
2023-04-07T14:30:00.000Z,18.89,23.7,158.2,winddata,bop
2023-04-07T15:00:00.000Z,17.39,22.8,161.5,winddata,bop
2023-04-07T15:30:00.000Z,27.2,33.3,157.6,winddata,bop
2023-04-07T16:00:00.000Z,24.06,31.1,147.9,winddata,bop
2023-04-07T16:30:00.000Z,26.72,35.5,150.7,winddata,bop
2023-04-07T17:00:00.000Z,23.12,29.73,150.0,winddata,bop
2023-04-07T17:30:00.000Z,26.85,33.97,147.9,winddata,bop
2023-04-07T18:00:00.000Z,24.13,29.53,156.2,winddata,bop
2023-04-07T18:30:00.000Z,23.76,31.13,151.9,winddata,bop
2023-04-07T19:00:00.000Z,23.06,29.53,151.2,winddata,bop
2023-04-07T19:30:00.000Z,23.89,30.3,160.2,winddata,bop
2023-04-07T20:00:00.000Z,21.81,28.63,161.9,winddata,bop
2023-04-07T20:30:00.000Z,23.06,29.03,154.7,winddata,bop
2023-04-07T21:00:00.000Z,27.64,33.5,155.1,winddata,bop
2023-04-07T21:30:00.000Z,26.82,33.53,148.9,winddata,bop
2023-04-07T22:00:00.000Z,27.46,32.87,147.6,winddata,bop
2023-04-07T22:30:00.000Z,20.48,26.67,146.5,winddata,bop
2023-04-07T23:00:00.000Z,22.43,27.23,149.2,winddata,bop
2023-04-07T23:30:00.000Z,23.48,29.4,150.6,winddata,bop
2023-04-08T00:00:00.000Z,27.86,33.9,160.2,winddata,bop
2023-04-08T00:30:00.000Z,25.44,32.87,143.2,winddata,bop
2023-04-08T01:00:00.000Z,25.63,33.0,149.2,winddata,bop
2023-04-08T01:30:00.000Z,25.48,32.3,143.2,winddata,bop
2023-04-08T02:00:00.000Z,25.19,32.97,151.8,winddata,bop
2023-04-08T02:30:00.000Z,22.99,27.37,150.9,winddata,bop
2023-04-08T03:00:00.000Z,24.89,31.1,147.8,winddata,bop
2023-04-08T03:30:00.000Z,29.24,38.27,148.7,winddata,bop
2023-04-08T04:00:00.000Z,22.91,27.13,150.7,winddata,bop
2023-04-08T04:30:00.000Z,20.37,26.07,155.3,winddata,bop
2023-04-08T05:00:00.000Z,22.14,29.53,150.1,winddata,bop
2023-04-08T05:30:00.000Z,23.81,29.67,153.6,winddata,bop
2023-04-08T06:00:00.000Z,15.95,22.9,154.2,winddata,bop
2023-04-08T06:30:00.000Z,16.23,20.4,155.8,winddata,bop
2023-04-08T07:00:00.000Z,17.92,21.63,155.2,winddata,bop
2023-04-08T07:30:00.000Z,17.06,22.93,157.6,winddata,bop
2023-04-08T08:00:00.000Z,17.63,22.1,156.3,winddata,bop
2023-04-08T08:30:00.000Z,17.32,23.1,144.3,winddata,bop
2023-04-08T09:00:00.000Z,18.76,23.5,145.1,winddata,bop
2023-04-08T09:30:00.000Z,15.83,19.0,146.1,winddata,bop
2023-04-08T10:00:00.000Z,18.75,25.1,159.7,winddata,bop
2023-04-08T10:30:00.000Z,17.45,20.67,167.8,winddata,bop
2023-04-08T11:00:00.000Z,16.35,21.8,163.1,winddata,bop
2023-04-08T11:30:00.000Z,14.39,19.25,153.7,winddata,bop
2023-04-08T12:00:00.000Z,14.58,18.03,175.3,winddata,bop
2023-04-08T12:30:00.000Z,15.13,19.4,173.5,winddata,bop
2023-04-08T13:00:00.000Z,17.23,20.83,161.1,winddata,bop
2023-04-08T13:30:00.000Z,18.43,23.9,169.3,winddata,bop
2023-04-08T14:00:00.000Z,14.09,17.5,182.9,winddata,bop
2023-04-08T14:30:00.000Z,15.04,21.33,162.6,winddata,bop
2023-04-08T15:00:00.000Z,14.06,16.73,185.8,winddata,bop
2023-04-08T15:30:00.000Z,13.79,18.57,185.2,winddata,bop
2023-04-08T16:00:00.000Z,17.52,20.67,188.9,winddata,bop
2023-04-08T16:30:00.000Z,17.37,22.2,187.2,winddata,bop
2023-04-08T17:00:00.000Z,16.34,21.93,174.3,winddata,bop
2023-04-08T17:30:00.000Z,17.98,22.3,184.7,winddata,bop
2023-04-08T18:00:00.000Z,17.54,24.77,188.0,winddata,bop
2023-04-08T18:30:00.000Z,16.82,21.0,194.5,winddata,bop
2023-04-08T19:00:00.000Z,17.36,21.47,197.8,winddata,bop
2023-04-08T19:30:00.000Z,18.42,23.53,190.0,winddata,bop
2023-04-08T20:00:00.000Z,18.75,23.37,189.1,winddata,bop
2023-04-08T20:30:00.000Z,17.51,21.23,186.2,winddata,bop
2023-04-08T21:00:00.000Z,16.75,20.6,185.2,winddata,bop
2023-04-08T21:30:00.000Z,17.24,21.63,188.0,winddata,bop
2023-04-08T22:00:00.000Z,16.87,20.53,181.4,winddata,bop
2023-04-08T22:30:00.000Z,13.91,17.07,182.0,winddata,bop
2023-04-08T23:00:00.000Z,18.82,22.6,180.3,winddata,bop
2023-04-08T23:30:00.000Z,17.06,20.0,186.2,winddata,bop
2023-04-09T00:00:00.000Z,8.67,13.57,252.0,winddata,bop
2023-04-09T00:30:00.000Z,9.37,11.07,231.1,winddata,bop
2023-04-09T01:00:00.000Z,11.19,14.0,233.3,winddata,bop
2023-04-09T01:30:00.000Z,11.33,14.17,222.2,winddata,bop
2023-04-09T02:00:00.000Z,11.97,14.2,201.0,winddata,bop
2023-04-09T02:30:00.000Z,11.84,14.87,187.1,winddata,bop
2023-04-09T03:00:00.000Z,10.55,12.9,207.4,winddata,bop
2023-04-09T03:30:00.000Z,9.79,13.47,229.0,winddata,bop
2023-04-09T04:00:00.000Z,12.39,15.2,220.1,winddata,bop
2023-04-09T04:30:00.000Z,9.13,11.7,224.5,winddata,bop
2023-04-09T05:00:00.000Z,8.76,11.07,205.0,winddata,bop
2023-04-09T05:30:00.000Z,9.42,11.53,218.7,winddata,bop
2023-04-09T06:00:00.000Z,9.4,10.9,211.4,winddata,bop
2023-04-09T06:30:00.000Z,7.92,9.7,198.3,winddata,bop
2023-04-09T07:00:00.000Z,7.11,8.37,186.0,winddata,bop
2023-04-09T07:30:00.000Z,8.52,10.2,182.2,winddata,bop
2023-04-09T08:00:00.000Z,8.63,10.23,179.6,winddata,bop
2023-04-09T08:30:00.000Z,6.53,7.97,198.0,winddata,bop
2023-04-09T09:00:00.000Z,5.6,6.8,248.4,winddata,bop
2023-04-09T09:30:00.000Z,5.94,8.03,242.3,winddata,bop
2023-04-09T10:00:00.000Z,7.4,8.87,273.1,winddata,bop
2023-04-09T10:30:00.000Z,5.5,6.93,265.8,winddata,bop
2023-04-09T11:00:00.000Z,4.78,5.77,288.6,winddata,bop
2023-04-09T11:30:00.000Z,6.05,6.9,285.3,winddata,bop
2023-04-09T12:00:00.000Z,6.41,7.77,303.1,winddata,bop
2023-04-09T12:30:00.000Z,5.29,6.23,315.3,winddata,bop
2023-04-09T13:00:00.000Z,4.95,6.53,333.2,winddata,bop
2023-04-09T13:30:00.000Z,4.56,5.83,344.2,winddata,bop
2023-04-09T14:00:00.000Z,7.33,8.53,344.4,winddata,bop
2023-04-09T14:30:00.000Z,6.92,8.4,358.4,winddata,bop
2023-04-09T15:00:00.000Z,5.09,5.9,15.7,winddata,bop
2023-04-09T15:30:00.000Z,6.93,8.07,62.7,winddata,bop
2023-04-09T16:00:00.000Z,8.35,9.77,51.4,winddata,bop
2023-04-09T16:30:00.000Z,10.55,12.07,52.0,winddata,bop
2023-04-09T17:00:00.000Z,12.24,13.97,61.4,winddata,bop
2023-04-09T17:30:00.000Z,12.0,14.73,67.0,winddata,bop
2023-04-09T18:00:00.000Z,15.33,17.63,60.5,winddata,bop
2023-04-09T18:30:00.000Z,16.77,19.33,56.5,winddata,bop
