time,value,dataType,region
2023-08-13T18:04:00.000Z,11.83,waterdata,tb
2023-08-13T18:04:02.000Z,11.2,waterdata,tb
2023-08-13T18:19:00.000Z,11.83,waterdata,tb
2023-08-13T18:19:02.000Z,11.11,waterdata,tb
2023-08-13T18:34:00.000Z,11.82,waterdata,tb
2023-08-13T18:34:02.000Z,11.08,waterdata,tb
2023-08-13T18:49:00.000Z,11.82,waterdata,tb
2023-08-13T18:49:02.000Z,11.05,waterdata,tb
2023-08-13T19:04:00.000Z,11.86,waterdata,tb
2023-08-13T19:04:02.000Z,11.0,waterdata,tb
2023-08-13T19:19:00.000Z,11.86,waterdata,tb
2023-08-13T19:19:02.000Z,10.95,waterdata,tb
2023-08-13T19:34:00.000Z,12.06,waterdata,tb
2023-08-13T19:34:02.000Z,10.91,waterdata,tb
2023-08-13T19:49:00.000Z,12.06,waterdata,tb
2023-08-13T19:49:02.000Z,10.91,waterdata,tb
2023-08-13T20:04:00.000Z,11.9,waterdata,tb
2023-08-13T20:04:02.000Z,10.91,waterdata,tb
2023-08-13T20:19:00.000Z,11.9,waterdata,tb
2023-08-13T20:19:02.000Z,10.91,waterdata,tb
2023-08-13T20:34:00.000Z,12.12,waterdata,tb
2023-08-13T20:34:02.000Z,10.94,waterdata,tb
2023-08-13T20:49:00.000Z,12.12,waterdata,tb
2023-08-13T20:49:02.000Z,10.89,waterdata,tb
2023-08-13T21:04:00.000Z,12.47,waterdata,tb
2023-08-13T21:04:02.000Z,10.91,waterdata,tb
2023-08-13T21:19:00.000Z,12.47,waterdata,tb
2023-08-13T21:19:02.000Z,10.92,waterdata,tb
2023-08-13T21:34:00.000Z,12.44,waterdata,tb
2023-08-13T21:34:02.000Z,10.94,waterdata,tb
2023-08-13T21:49:00.000Z,12.44,waterdata,tb
2023-08-13T21:49:02.000Z,10.92,waterdata,tb
2023-08-13T22:04:00.000Z,12.55,waterdata,tb
2023-08-13T22:04:02.000Z,10.9,waterdata,tb
2023-08-13T22:19:00.000Z,12.55,waterdata,tb
2023-08-13T22:19:02.000Z,10.9,waterdata,tb
2023-08-13T22:34:00.000Z,12.58,waterdata,tb
2023-08-13T22:34:02.000Z,10.79,waterdata,tb
2023-08-13T22:49:00.000Z,12.58,waterdata,tb
2023-08-13T22:49:02.000Z,10.7,waterdata,tb
2023-08-13T23:04:00.000Z,12.53,waterdata,tb
2023-08-13T23:04:02.000Z,10.25,waterdata,tb
2023-08-13T23:19:00.000Z,12.53,waterdata,tb
2023-08-13T23:19:02.000Z,10.05,waterdata,tb
2023-08-13T23:34:00.000Z,12.49,waterdata,tb
2023-08-13T23:34:02.000Z,10.43,waterdata,tb
2023-08-13T23:49:00.000Z,12.49,waterdata,tb
2023-08-13T23:49:02.000Z,10.2,waterdata,tb
2023-08-14T00:00:00.000Z,11.17,waterdata,tb
2023-08-14T00:04:00.000Z,12.06,waterdata,tb
2023-08-14T00:04:02.000Z,10.02,waterdata,tb
2023-08-14T00:19:00.000Z,12.06,waterdata,tb
2023-08-14T00:19:02.000Z,10.13,waterdata,tb
2023-08-14T00:34:00.000Z,11.61,waterdata,tb
2023-08-14T00:34:02.000Z,10.25,waterdata,tb
2023-08-14T00:49:00.000Z,11.61,waterdata,tb
2023-08-14T00:49:02.000Z,10.22,waterdata,tb
2023-08-14T01:04:00.000Z,11.35,waterdata,tb
2023-08-14T01:04:02.000Z,10.3,waterdata,tb
2023-08-14T01:19:00.000Z,11.35,waterdata,tb
2023-08-14T01:19:02.000Z,10.22,waterdata,tb
2023-08-14T01:34:00.000Z,11.35,waterdata,tb
2023-08-14T01:34:02.000Z,10.41,waterdata,tb
2023-08-14T01:49:00.000Z,11.35,waterdata,tb
2023-08-14T01:49:02.000Z,10.43,waterdata,tb
2023-08-14T02:04:00.000Z,11.17,waterdata,tb
2023-08-14T02:04:02.000Z,10.48,waterdata,tb
2023-08-14T02:19:00.000Z,11.17,waterdata,tb
2023-08-14T02:19:02.000Z,10.47,waterdata,tb
2023-08-14T02:34:00.000Z,11.44,waterdata,tb
2023-08-14T02:34:02.000Z,10.54,waterdata,tb
2023-08-14T02:49:00.000Z,11.44,waterdata,tb
2023-08-14T02:49:02.000Z,10.59,waterdata,tb
2023-08-14T03:04:00.000Z,11.52,waterdata,tb
2023-08-14T03:04:02.000Z,10.64,waterdata,tb
2023-08-14T03:19:00.000Z,11.52,waterdata,tb
2023-08-14T03:19:02.000Z,10.75,waterdata,tb
2023-08-14T03:34:00.000Z,11.58,waterdata,tb
2023-08-14T03:34:02.000Z,10.79,waterdata,tb
