time,significantHeight,maxHeight,direction,dataType,region
2024-02-21T19:17:31.000Z,0.154,0.245,195.1,wavesdata,tb
2024-02-21T19:47:31.000Z,0.155,0.236,228.3,wavesdata,tb
2024-02-21T20:17:31.000Z,0.132,0.212,269.9,wavesdata,tb
2024-02-21T20:47:31.000Z,0.186,0.319,56.9,wavesdata,tb
2024-02-21T21:17:31.000Z,0.192,0.285,54.2,wavesdata,tb
2024-02-21T21:47:31.000Z,0.184,0.275,354.1,wavesdata,tb
2024-02-21T22:17:31.000Z,0.177,0.304,326.3,wavesdata,tb
2024-02-21T22:47:31.000Z,0.164,0.284,354.7,wavesdata,tb
2024-02-21T23:17:32.000Z,0.196,0.339,353.7,wavesdata,tb
2024-02-22T00:17:31.000Z,0.224,0.392,42.8,wavesdata,tb
2024-02-22T00:47:31.000Z,0.215,0.376,190.2,wavesdata,tb
2024-02-22T01:17:31.000Z,0.216,0.371,117.0,wavesdata,tb
2024-02-22T01:47:31.000Z,0.214,0.388,67.3,wavesdata,tb
2024-02-22T02:17:31.000Z,0.228,0.408,119.2,wavesdata,tb
2024-02-22T02:47:31.000Z,0.232,0.403,7.5,wavesdata,tb
2024-02-22T03:17:31.000Z,0.203,0.355,22.7,wavesdata,tb
2024-02-22T04:17:31.000Z,0.224,0.403,153.2,wavesdata,tb
2024-02-22T04:47:31.000Z,0.221,0.396,156.9,wavesdata,tb
2024-02-22T05:17:31.000Z,0.206,0.342,349.9,wavesdata,tb
2024-02-22T05:47:31.000Z,0.214,0.346,339.2,wavesdata,tb
2024-02-22T06:17:31.000Z,0.207,0.334,295.6,wavesdata,tb
2024-02-22T10:47:31.000Z,0.221,0.366,57.2,wavesdata,tb
2024-02-22T11:17:32.000Z,0.243,0.402,281.7,wavesdata,tb
2024-02-22T11:47:31.000Z,0.204,0.337,32.0,wavesdata,tb
2024-02-21T23:47:31.000Z,0.207,0.358,6.8,wavesdata,tb
2024-02-22T06:47:31.000Z,0.213,0.361,111.3,wavesdata,tb
2024-02-22T07:17:31.000Z,0.256,0.419,321.7,wavesdata,tb
2024-02-22T07:47:31.000Z,0.287,0.47,343.0,wavesdata,tb
2024-02-22T08:17:31.000Z,0.301,0.497,338.3,wavesdata,tb
2024-02-22T09:17:31.000Z,0.264,0.437,305.1,wavesdata,tb
2024-02-22T09:47:31.000Z,0.248,0.407,342.3,wavesdata,tb
2024-02-22T10:17:31.000Z,0.272,0.451,335.4,wavesdata,tb
2024-02-22T12:17:31.000Z,0.182,0.299,114.8,wavesdata,tb
2024-02-22T13:17:31.000Z,0.264,0.434,7.4,wavesdata,tb
2024-02-22T20:47:31.000Z,0.289,0.493,163.9,wavesdata,tb
2024-02-22T21:17:31.000Z,0.305,0.521,330.2,wavesdata,tb
2024-02-22T22:17:31.000Z,0.233,0.398,273.4,wavesdata,tb
2024-02-22T22:47:32.000Z,0.224,0.381,220.1,wavesdata,tb
2024-02-22T23:17:31.000Z,0.257,0.381,234.6,wavesdata,tb
2024-02-22T23:47:31.000Z,0.227,0.337,16.0,wavesdata,tb
2024-02-23T00:17:32.000Z,0.249,0.446,123.1,wavesdata,tb
2024-02-23T00:47:31.000Z,0.213,0.38,301.8,wavesdata,tb
2024-02-23T06:17:31.000Z,0.165,0.258,73.0,wavesdata,tb
2024-02-23T09:47:31.000Z,0.213,0.317,345.8,wavesdata,tb
2024-02-23T10:47:31.000Z,0.184,0.316,39.4,wavesdata,tb
2024-02-23T12:17:41.000Z,0.172,0.278,275.9,wavesdata,tb
2024-02-23T23:47:31.000Z,0.358,0.593,347.8,wavesdata,tb
2024-02-22T03:47:31.000Z,0.199,0.327,9.7,wavesdata,tb
2024-02-22T08:47:31.000Z,0.274,0.454,14.8,wavesdata,tb
2024-02-22T12:47:31.000Z,0.242,0.367,158.0,wavesdata,tb
2024-02-22T13:47:31.000Z,0.41,0.712,321.4,wavesdata,tb
2024-02-22T14:17:31.000Z,0.453,0.676,296.9,wavesdata,tb
2024-02-22T14:47:31.000Z,0.449,0.773,279.5,wavesdata,tb
2024-02-22T15:17:31.000Z,0.491,0.84,284.5,wavesdata,tb
2024-02-22T15:47:31.000Z,0.668,1.135,327.6,wavesdata,tb
2024-02-22T16:17:31.000Z,0.672,1.144,292.8,wavesdata,tb
2024-02-22T16:47:31.000Z,0.616,1.057,236.7,wavesdata,tb
2024-02-22T17:17:31.000Z,0.55,0.936,207.4,wavesdata,tb
2024-02-22T17:47:31.000Z,0.539,0.922,158.1,wavesdata,tb
2024-02-22T18:17:31.000Z,0.486,0.827,135.3,wavesdata,tb
2024-02-22T18:47:31.000Z,0.427,0.733,62.1,wavesdata,tb
2024-02-22T19:17:31.000Z,0.394,0.678,159.9,wavesdata,tb
2024-02-22T19:47:31.000Z,0.344,0.593,55.6,wavesdata,tb
2024-02-22T20:17:31.000Z,0.344,0.582,311.8,wavesdata,tb
2024-02-22T21:47:31.000Z,0.26,0.445,158.8,wavesdata,tb
2024-02-23T01:17:31.000Z,0.213,0.367,162.8,wavesdata,tb
2024-02-23T01:47:32.000Z,0.206,0.365,339.4,wavesdata,tb
2024-02-23T02:17:31.000Z,0.205,0.31,73.5,wavesdata,tb
2024-02-23T02:47:31.000Z,0.186,0.278,138.2,wavesdata,tb
2024-02-23T03:17:31.000Z,0.189,0.279,230.0,wavesdata,tb
2024-02-23T03:47:31.000Z,0.191,0.286,89.4,wavesdata,tb
2024-02-23T04:17:31.000Z,0.181,0.273,320.8,wavesdata,tb
2024-02-23T04:47:31.000Z,0.163,0.293,324.8,wavesdata,tb
2024-02-23T05:17:31.000Z,0.166,0.262,285.4,wavesdata,tb
2024-02-23T05:47:31.000Z,0.166,0.248,351.6,wavesdata,tb
2024-02-23T06:47:31.000Z,0.167,0.258,11.8,wavesdata,tb
2024-02-23T07:17:31.000Z,0.161,0.238,242.1,wavesdata,tb
2024-02-23T07:47:31.000Z,0.195,0.339,84.0,wavesdata,tb
2024-02-23T08:17:31.000Z,0.203,0.349,80.0,wavesdata,tb
2024-02-23T08:47:31.000Z,0.222,0.379,179.6,wavesdata,tb
2024-02-23T09:17:31.000Z,0.209,0.355,274.3,wavesdata,tb
2024-02-23T11:17:31.000Z,0.128,0.216,205.0,wavesdata,tb
2024-02-23T11:47:31.000Z,0.133,0.228,308.4,wavesdata,tb
2024-02-23T13:17:31.000Z,0.207,0.335,39.3,wavesdata,tb
2024-02-23T13:47:31.000Z,0.218,0.382,195.3,wavesdata,tb
2024-02-23T17:47:31.000Z,0.271,0.401,126.9,wavesdata,tb
2024-02-24T00:47:31.000Z,0.426,0.736,323.3,wavesdata,tb
2024-02-24T01:17:31.000Z,0.453,0.779,295.3,wavesdata,tb
2024-02-24T01:47:31.000Z,0.445,0.764,209.8,wavesdata,tb
2024-02-24T02:17:31.000Z,0.454,0.777,182.9,wavesdata,tb
2024-02-24T02:47:32.000Z,0.435,0.727,91.3,wavesdata,tb
2024-02-24T03:17:31.000Z,0.395,0.679,113.8,wavesdata,tb
2024-02-24T03:47:31.000Z,0.355,0.595,305.3,wavesdata,tb
2024-02-24T04:17:31.000Z,0.326,0.549,133.6,wavesdata,tb
2024-02-24T04:47:31.000Z,0.317,0.531,307.9,wavesdata,tb
2024-02-24T05:17:31.000Z,0.276,0.463,155.1,wavesdata,tb
2024-02-24T05:47:31.000Z,0.27,0.456,47.0,wavesdata,tb
2024-02-24T06:17:31.000Z,0.247,0.416,305.8,wavesdata,tb
2024-02-24T06:47:31.000Z,0.236,0.386,136.6,wavesdata,tb
2024-02-24T07:17:31.000Z,0.24,0.4,192.2,wavesdata,tb
2024-02-23T22:17:31.000Z,0.368,0.642,41.4,wavesdata,tb
2024-02-23T22:47:31.000Z,0.363,0.602,140.4,wavesdata,tb
2024-02-23T23:17:31.000Z,0.43,0.717,5.1,wavesdata,tb
2024-02-24T09:47:31.000Z,0.202,0.333,231.4,wavesdata,tb
2024-02-24T10:47:31.000Z,0.202,0.331,251.3,wavesdata,tb
2024-02-24T11:47:31.000Z,0.209,0.351,125.0,wavesdata,tb
2024-02-24T12:17:31.000Z,0.283,0.475,237.9,wavesdata,tb
2024-02-24T12:47:31.000Z,0.312,0.527,15.9,wavesdata,tb
2024-02-24T13:17:31.000Z,0.537,0.91,61.9,wavesdata,tb
2024-02-24T14:17:31.000Z,0.697,1.176,173.9,wavesdata,tb
