time,value,dataType,region
2023-04-06T04:00:00.000Z,19.9,waterdata,bop
2023-04-06T05:00:00.000Z,19.91,waterdata,bop
2023-04-06T06:00:00.000Z,19.89,waterdata,bop
2023-04-06T07:00:00.000Z,19.89,waterdata,bop
2023-04-06T08:00:00.000Z,19.87,waterdata,bop
2023-04-06T09:00:00.000Z,19.87,waterdata,bop
2023-04-06T10:00:00.000Z,19.9,waterdata,bop
2023-04-06T11:00:00.000Z,19.92,waterdata,bop
2023-04-06T12:00:00.000Z,19.92,waterdata,bop
2023-04-06T13:00:00.000Z,19.93,waterdata,bop
2023-04-06T14:00:00.000Z,19.93,waterdata,bop
2023-04-06T15:00:00.000Z,19.87,waterdata,bop
2023-04-06T16:00:00.000Z,19.87,waterdata,bop
2023-04-06T17:00:00.000Z,19.88,waterdata,bop
2023-04-06T18:00:00.000Z,19.9,waterdata,bop
2023-04-06T19:00:00.000Z,19.88,waterdata,bop
2023-04-06T20:00:00.000Z,19.86,waterdata,bop
2023-04-06T21:00:00.000Z,19.84,waterdata,bop
2023-04-06T22:00:00.000Z,19.84,waterdata,bop
2023-04-06T23:00:00.000Z,19.84,waterdata,bop
2023-04-07T00:00:00.000Z,19.82,waterdata,bop
2023-04-07T01:00:00.000Z,19.82,waterdata,bop
2023-04-07T02:00:00.000Z,19.8,waterdata,bop
2023-04-07T03:00:00.000Z,19.79,waterdata,bop
2023-04-07T04:00:00.000Z,19.79,waterdata,bop
2023-04-07T05:00:00.000Z,19.79,waterdata,bop
2023-04-07T06:00:00.000Z,19.77,waterdata,bop
2023-04-07T07:00:00.000Z,19.77,waterdata,bop
2023-04-07T08:00:00.000Z,19.76,waterdata,bop
2023-04-07T09:00:00.000Z,19.74,waterdata,bop
2023-04-07T10:00:00.000Z,19.75,waterdata,bop
2023-04-07T11:00:00.000Z,19.75,waterdata,bop
2023-04-07T12:00:00.000Z,19.77,waterdata,bop
2023-04-07T13:00:00.000Z,19.78,waterdata,bop
2023-04-07T14:00:00.000Z,19.78,waterdata,bop
2023-04-07T15:00:00.000Z,19.79,waterdata,bop
2023-04-07T16:00:00.000Z,19.8,waterdata,bop
2023-04-07T17:00:00.000Z,19.78,waterdata,bop
2023-04-07T18:00:00.000Z,19.74,waterdata,bop
2023-04-07T19:00:00.000Z,19.71,waterdata,bop
2023-04-07T20:00:00.000Z,19.68,waterdata,bop
2023-04-07T21:00:00.000Z,19.66,waterdata,bop
2023-04-07T22:00:00.000Z,19.65,waterdata,bop
2023-04-07T23:00:00.000Z,19.62,waterdata,bop
2023-04-08T00:00:00.000Z,19.6,waterdata,bop
2023-04-08T01:00:00.000Z,19.57,waterdata,bop
2023-04-08T02:00:00.000Z,19.53,waterdata,bop
2023-04-08T03:00:00.000Z,19.5,waterdata,bop
2023-04-08T04:00:00.000Z,19.47,waterdata,bop
2023-04-08T05:00:00.000Z,19.45,waterdata,bop
2023-04-08T06:00:00.000Z,19.4,waterdata,bop
2023-04-08T07:00:00.000Z,19.38,waterdata,bop
2023-04-08T08:00:00.000Z,19.38,waterdata,bop
2023-04-08T09:00:00.000Z,19.39,waterdata,bop
2023-04-08T10:00:00.000Z,19.39,waterdata,bop
2023-04-09T10:31:00.000Z,19.68,waterdata,bop
2023-04-09T11:31:00.000Z,19.8,waterdata,bop
2023-04-09T12:31:00.000Z,19.93,waterdata,bop
2023-04-09T13:31:00.000Z,20.1,waterdata,bop
2023-04-09T14:31:00.000Z,20.12,waterdata,bop
2023-04-09T15:31:00.000Z,20.01,waterdata,bop
2023-04-09T16:31:00.000Z,19.93,waterdata,bop
2023-04-09T17:31:00.000Z,19.85,waterdata,bop
2023-04-09T18:31:00.000Z,19.73,waterdata,bop
2023-04-09T19:31:00.000Z,19.66,waterdata,bop
2023-04-09T20:31:00.000Z,19.63,waterdata,bop
2023-04-09T21:31:00.000Z,19.59,waterdata,bop
2023-04-09T22:31:00.000Z,19.56,waterdata,bop
2023-04-09T23:31:00.000Z,19.54,waterdata,bop
2023-04-10T00:31:00.000Z,19.58,waterdata,bop
2023-04-10T01:31:00.000Z,19.55,waterdata,bop
2023-04-10T02:31:00.000Z,19.55,waterdata,bop
2023-04-10T03:31:00.000Z,19.58,waterdata,bop
2023-04-10T04:31:00.000Z,19.8,waterdata,bop
2023-04-10T05:31:00.000Z,19.79,waterdata,bop
2023-04-10T06:31:00.000Z,19.8,waterdata,bop
2023-04-10T07:31:00.000Z,19.84,waterdata,bop
2023-04-10T08:31:00.000Z,19.84,waterdata,bop
2023-04-10T09:31:00.000Z,19.88,waterdata,bop
2023-04-10T10:31:00.000Z,19.95,waterdata,bop
2023-04-10T11:31:00.000Z,20.08,waterdata,bop
2023-04-10T12:31:00.000Z,20.16,waterdata,bop
2023-04-10T13:31:00.000Z,20.2,waterdata,bop
