time,significantHeight,maxHeight,direction,dataType,region
2024-06-19T21:20:00.000Z,0.003,0.005,282.6,wavesdata,bop
2024-06-19T21:50:00.000Z,0.003,0.005,246.3,wavesdata,bop
2024-06-19T22:20:00.000Z,0.004,0.006,178.8,wavesdata,bop
2024-06-19T22:50:00.000Z,0.003,0.005,219.0,wavesdata,bop
2024-06-19T23:20:00.000Z,0.004,0.006,33.3,wavesdata,bop
2024-06-19T23:50:00.000Z,0.004,0.007,228.8,wavesdata,bop
2024-06-20T00:20:00.000Z,0.005,0.007,213.1,wavesdata,bop
2024-06-20T01:20:00.000Z,0.003,0.005,28.7,wavesdata,bop
2024-06-20T01:50:00.000Z,0.004,0.006,16.4,wavesdata,bop
2024-06-20T02:20:00.000Z,0.004,0.007,214.4,wavesdata,bop
2024-06-20T02:50:00.000Z,0.003,0.005,209.0,wavesdata,bop
2024-06-20T03:20:00.000Z,0.003,0.005,28.8,wavesdata,bop
2024-06-20T03:50:00.000Z,0.004,0.006,55.4,wavesdata,bop
2024-06-20T04:20:00.000Z,0.004,0.005,254.7,wavesdata,bop
2024-06-20T05:20:00.000Z,0.005,0.008,331.8,wavesdata,bop
2024-06-20T05:50:00.000Z,0.004,0.007,10.5,wavesdata,bop
2024-06-20T06:20:00.000Z,0.003,0.005,285.8,wavesdata,bop
2024-06-20T06:50:00.000Z,0.003,0.005,190.7,wavesdata,bop
2024-06-20T07:20:00.000Z,0.004,0.006,176.0,wavesdata,bop
2024-06-20T07:50:00.000Z,0.004,0.006,290.1,wavesdata,bop
2024-06-20T08:20:00.000Z,0.003,0.005,185.2,wavesdata,bop
2024-06-20T08:50:00.000Z,0.003,0.004,218.2,wavesdata,bop
2024-06-20T09:20:00.000Z,0.004,0.005,210.9,wavesdata,bop
2024-06-20T09:50:00.000Z,0.004,0.005,219.2,wavesdata,bop
2024-06-20T10:20:00.000Z,0.003,0.005,114.6,wavesdata,bop
2024-06-20T10:50:00.000Z,0.003,0.005,194.3,wavesdata,bop
2024-06-20T11:20:00.000Z,0.003,0.005,32.3,wavesdata,bop
2024-06-20T15:20:00.000Z,0.003,0.004,33.1,wavesdata,bop
2024-06-20T15:50:00.000Z,0.003,0.004,31.0,wavesdata,bop
2024-06-20T16:20:00.000Z,0.003,0.004,86.0,wavesdata,bop
2024-06-20T16:50:00.000Z,0.003,0.004,24.3,wavesdata,bop
2024-06-20T17:20:00.000Z,0.004,0.005,201.8,wavesdata,bop
2024-06-20T17:50:00.000Z,0.004,0.006,207.0,wavesdata,bop
2024-06-20T18:20:00.000Z,0.003,0.004,150.6,wavesdata,bop
2024-06-20T18:50:00.000Z,0.003,0.004,224.9,wavesdata,bop
2024-06-20T19:20:00.000Z,0.003,0.004,233.6,wavesdata,bop
2024-06-20T19:50:00.000Z,0.003,0.005,111.4,wavesdata,bop
2024-06-20T20:20:00.000Z,0.005,0.007,207.9,wavesdata,bop
2024-06-20T20:50:00.000Z,0.005,0.007,94.5,wavesdata,bop
2024-06-20T00:50:00.000Z,0.004,0.005,94.2,wavesdata,bop
2024-06-20T11:50:00.000Z,0.004,0.006,199.0,wavesdata,bop
2024-06-20T12:20:00.000Z,0.0,0.0,0.0,wavesdata,bop
2024-06-20T12:50:00.000Z,0.0,0.0,0.0,wavesdata,bop
2024-06-20T13:20:00.000Z,0.0,0.0,0.0,wavesdata,bop
2024-06-20T13:50:00.000Z,0.004,0.005,8.9,wavesdata,bop
