time,significantHeight,maxHeight,direction,dataType,region
2023-09-21T13:00:00.000Z,0.517,0.887,265.3,wavesdata,gb
2023-09-21T15:00:00.000Z,0.519,0.89,302.0,wavesdata,gb
2023-09-14T21:30:00.000Z,1.365,2.266,297.0,wavesdata,gb
2023-09-14T22:00:00.000Z,1.296,2.169,257.3,wavesdata,gb
2023-09-14T22:30:00.000Z,1.395,2.307,247.9,wavesdata,gb
2023-09-14T23:00:00.000Z,1.178,1.966,243.5,wavesdata,gb
2023-09-14T23:30:00.000Z,1.113,1.867,253.3,wavesdata,gb
2023-09-15T00:00:00.000Z,1.191,1.98,291.9,wavesdata,gb
2023-09-15T00:30:00.000Z,1.175,1.954,241.6,wavesdata,gb
2023-09-15T01:00:00.000Z,0.843,1.424,223.0,wavesdata,gb
2023-09-15T01:30:00.000Z,0.999,1.678,247.6,wavesdata,gb
2023-09-15T02:00:00.000Z,0.992,1.665,236.8,wavesdata,gb
2023-09-15T02:30:00.000Z,0.846,1.426,221.4,wavesdata,gb
2023-09-15T03:00:00.000Z,0.65,1.109,236.2,wavesdata,gb
2023-09-15T03:30:00.000Z,0.563,0.971,265.0,wavesdata,gb
2023-09-15T04:00:00.000Z,0.57,0.984,243.2,wavesdata,gb
2023-09-15T04:30:00.000Z,0.577,0.994,208.3,wavesdata,gb
2023-09-15T05:00:00.000Z,0.623,1.069,204.3,wavesdata,gb
2023-09-15T05:30:00.000Z,0.524,0.902,275.6,wavesdata,gb
2023-09-15T06:00:00.000Z,0.497,0.856,218.6,wavesdata,gb
2023-09-15T06:30:00.000Z,0.561,0.96,223.4,wavesdata,gb
2023-09-15T07:00:00.000Z,0.577,0.987,212.2,wavesdata,gb
2023-09-15T07:30:00.000Z,0.544,0.938,218.6,wavesdata,gb
2023-09-15T08:00:00.000Z,0.425,0.736,326.7,wavesdata,gb
2023-09-15T08:30:00.000Z,0.397,0.687,264.0,wavesdata,gb
2023-09-15T09:00:00.000Z,0.351,0.614,215.9,wavesdata,gb
2023-09-15T09:30:00.000Z,0.36,0.625,2.6,wavesdata,gb
2023-09-15T10:00:00.000Z,0.369,0.638,310.9,wavesdata,gb
2023-09-15T10:30:00.000Z,0.323,0.563,263.4,wavesdata,gb
2023-09-15T11:00:00.000Z,0.322,0.568,287.4,wavesdata,gb
2023-09-15T11:30:00.000Z,0.321,0.562,275.4,wavesdata,gb
2023-09-15T12:00:00.000Z,0.266,0.425,271.3,wavesdata,gb
2023-09-15T12:30:00.000Z,0.247,0.433,282.1,wavesdata,gb
2023-09-15T13:00:00.000Z,0.32,0.559,274.5,wavesdata,gb
2023-09-15T13:30:00.000Z,0.391,0.68,266.5,wavesdata,gb
2023-09-15T14:00:00.000Z,0.41,0.71,270.9,wavesdata,gb
2023-09-15T14:30:00.000Z,0.411,0.709,327.0,wavesdata,gb
2023-09-15T15:00:00.000Z,0.442,0.76,340.6,wavesdata,gb
2023-09-15T15:30:00.000Z,0.425,0.734,21.7,wavesdata,gb
2023-09-15T16:00:00.000Z,0.408,0.703,354.9,wavesdata,gb
2023-09-15T16:30:00.000Z,0.36,0.619,0.1,wavesdata,gb
2023-09-15T17:00:00.000Z,0.291,0.503,358.0,wavesdata,gb
2023-09-15T17:30:00.000Z,0.471,0.823,32.0,wavesdata,gb
2023-09-15T18:00:00.000Z,0.733,1.247,13.0,wavesdata,gb
2023-09-15T18:30:00.000Z,1.044,1.741,33.6,wavesdata,gb
2023-09-15T19:00:00.000Z,1.006,1.68,1.4,wavesdata,gb
2023-09-15T19:30:00.000Z,0.997,1.649,2.5,wavesdata,gb
2023-09-15T20:00:00.000Z,0.891,1.497,17.0,wavesdata,gb
2023-09-15T20:30:00.000Z,0.823,1.375,14.7,wavesdata,gb
2023-09-15T21:00:00.000Z,0.74,1.226,4.7,wavesdata,gb
2023-09-15T21:30:00.000Z,0.696,1.16,9.2,wavesdata,gb
2023-09-15T22:00:00.000Z,0.718,1.196,25.5,wavesdata,gb
2023-09-15T22:30:00.000Z,0.722,1.202,23.9,wavesdata,gb
2023-09-15T23:00:00.000Z,0.742,1.238,23.0,wavesdata,gb
2023-09-15T23:30:00.000Z,0.696,1.152,3.0,wavesdata,gb
2023-09-16T00:00:00.000Z,0.633,1.042,47.2,wavesdata,gb
2023-09-16T00:30:00.000Z,0.579,0.955,39.4,wavesdata,gb
2023-09-16T01:00:00.000Z,0.523,0.865,39.0,wavesdata,gb
2023-09-16T01:30:00.000Z,0.563,0.934,46.2,wavesdata,gb
2023-09-16T02:00:00.000Z,0.507,0.837,37.8,wavesdata,gb
2023-09-16T02:30:00.000Z,0.476,0.79,33.5,wavesdata,gb
2023-09-16T03:00:00.000Z,0.527,0.88,48.6,wavesdata,gb
2023-09-16T03:30:00.000Z,0.493,0.818,38.3,wavesdata,gb
2023-09-16T04:00:00.000Z,0.503,0.84,34.1,wavesdata,gb
2023-09-16T04:30:00.000Z,0.465,0.772,21.3,wavesdata,gb
2023-09-16T05:00:00.000Z,0.434,0.725,35.8,wavesdata,gb
2023-09-16T05:30:00.000Z,0.427,0.716,23.8,wavesdata,gb
2023-09-16T06:00:00.000Z,0.365,0.614,36.0,wavesdata,gb
2023-09-16T06:30:00.000Z,0.336,0.57,23.5,wavesdata,gb
2023-09-16T07:00:00.000Z,0.318,0.533,14.6,wavesdata,gb
2023-09-16T07:30:00.000Z,0.305,0.52,60.6,wavesdata,gb
2023-09-16T08:00:00.000Z,0.286,0.487,74.8,wavesdata,gb
2023-09-16T08:30:00.000Z,0.271,0.459,41.8,wavesdata,gb
2023-09-16T09:00:00.000Z,0.316,0.537,338.5,wavesdata,gb
2023-09-16T09:30:00.000Z,0.37,0.648,263.9,wavesdata,gb
2023-09-16T10:00:00.000Z,0.424,0.735,277.0,wavesdata,gb
2023-09-16T10:30:00.000Z,0.548,0.938,300.2,wavesdata,gb
2023-09-16T11:00:00.000Z,0.517,0.883,249.5,wavesdata,gb
2023-09-16T11:30:00.000Z,0.517,0.89,254.7,wavesdata,gb
2023-09-16T12:00:00.000Z,0.587,1.012,262.1,wavesdata,gb
2023-09-16T12:30:00.000Z,0.592,1.016,269.1,wavesdata,gb
2023-09-16T13:00:00.000Z,0.669,1.138,275.6,wavesdata,gb
2023-09-16T13:30:00.000Z,0.726,1.232,292.2,wavesdata,gb
2023-09-16T14:00:00.000Z,0.748,1.265,306.2,wavesdata,gb
2023-09-16T14:30:00.000Z,0.77,1.305,270.9,wavesdata,gb
2023-09-16T15:00:00.000Z,0.815,1.382,268.8,wavesdata,gb
2023-09-16T15:30:00.000Z,0.991,1.673,259.6,wavesdata,gb
2023-09-16T16:00:00.000Z,0.92,1.545,258.0,wavesdata,gb
2023-09-16T16:30:00.000Z,0.989,1.667,239.2,wavesdata,gb
2023-09-16T17:00:00.000Z,0.968,1.64,248.8,wavesdata,gb
2023-09-16T17:30:00.000Z,0.895,1.502,238.0,wavesdata,gb
2023-09-16T18:00:00.000Z,0.834,1.416,234.6,wavesdata,gb
2023-09-16T18:30:00.000Z,0.839,1.424,240.9,wavesdata,gb
2023-09-16T19:00:00.000Z,0.81,1.373,239.3,wavesdata,gb
2023-09-16T19:30:00.000Z,0.74,1.261,231.3,wavesdata,gb
