time,speed,gust,direction,dataType,region
2023-04-08T03:30:00.000Z,8.53,9.93,194.0,winddata,gb
2023-04-08T04:00:00.000Z,8.79,10.3,194.7,winddata,gb
2023-04-08T04:30:00.000Z,6.54,8.3,193.3,winddata,gb
2023-04-08T05:00:00.000Z,9.7,6.4,189.4,winddata,gb
2023-04-08T05:30:00.000Z,8.2,8.97,183.8,winddata,gb
2023-04-08T06:00:00.000Z,11.88,14.13,191.5,winddata,gb
2023-04-08T06:30:00.000Z,11.4,12.63,191.1,winddata,gb
2023-04-08T07:00:00.000Z,10.64,12.87,183.5,winddata,gb
2023-04-08T07:30:00.000Z,10.17,12.2,197.2,winddata,gb
2023-04-08T08:00:00.000Z,10.18,12.87,189.1,winddata,gb
2023-04-08T08:30:00.000Z,7.2,9.1,165.2,winddata,gb
2023-04-08T09:00:00.000Z,9.8,11.5,153.1,winddata,gb
2023-04-08T09:30:00.000Z,10.8,12.0,115.4,winddata,gb
2023-04-08T10:00:00.000Z,16.18,19.6,94.0,winddata,gb
2023-04-08T10:30:00.000Z,14.58,16.93,92.4,winddata,gb
2023-04-08T11:00:00.000Z,13.21,16.1,101.1,winddata,gb
2023-04-08T11:30:00.000Z,14.77,16.93,101.7,winddata,gb
2023-04-08T12:00:00.000Z,13.19,16.3,155.5,winddata,gb
2023-04-08T12:30:00.000Z,13.56,17.6,127.6,winddata,gb
2023-04-08T13:00:00.000Z,15.45,17.7,104.7,winddata,gb
2023-04-08T13:30:00.000Z,15.97,18.57,92.3,winddata,gb
2023-04-08T14:00:00.000Z,18.38,20.47,105.8,winddata,gb
2023-04-08T14:30:00.000Z,20.24,22.67,79.5,winddata,gb
2023-04-08T15:00:00.000Z,16.99,20.53,86.9,winddata,gb
2023-04-08T15:30:00.000Z,18.77,19.97,81.5,winddata,gb
2023-04-08T16:00:00.000Z,14.76,16.47,100.0,winddata,gb
2023-04-08T16:30:00.000Z,14.18,16.8,108.4,winddata,gb
2023-04-08T17:00:00.000Z,15.57,16.9,96.1,winddata,gb
2023-04-08T17:30:00.000Z,14.53,17.57,108.7,winddata,gb
2023-04-08T18:00:00.000Z,13.18,16.9,104.3,winddata,gb
2023-04-08T18:30:00.000Z,13.43,16.2,108.3,winddata,gb
2023-04-08T19:00:00.000Z,15.24,18.43,90.0,winddata,gb
2023-04-08T19:30:00.000Z,16.14,18.4,94.5,winddata,gb
2023-04-08T20:00:00.000Z,18.19,20.17,84.3,winddata,gb
2023-04-08T20:30:00.000Z,16.94,19.2,86.4,winddata,gb
2023-04-08T21:00:00.000Z,16.91,19.67,93.4,winddata,gb
