time,speed,gust,direction,dataType,region
2023-08-02T13:44:59.000Z,0.36,2.8,163.2,winddata,tb
2023-08-02T13:59:59.000Z,0.37,2.9,144.7,winddata,tb
2023-08-02T14:14:58.000Z,0.46,2.6,130.2,winddata,tb
2023-08-09T12:31:48.000Z,0.78,1.8,276.2,winddata,tb
2023-08-09T13:01:48.000Z,3.31,4.6,36.4,winddata,tb
2023-08-09T13:31:48.000Z,3.24,4.4,46.8,winddata,tb
2023-08-09T14:01:48.000Z,4.75,6.1,27.6,winddata,tb
2023-08-09T14:31:48.000Z,5.61,7.5,41.0,winddata,tb
2023-08-09T15:01:48.000Z,6.01,7.6,50.1,winddata,tb
2023-08-09T15:31:48.000Z,5.75,7.5,35.0,winddata,tb
2023-08-09T16:01:48.000Z,4.84,6.6,31.3,winddata,tb
2023-08-09T16:31:48.000Z,4.87,5.7,25.1,winddata,tb
2023-08-09T17:01:48.000Z,3.52,6.1,63.9,winddata,tb
2023-08-09T17:31:48.000Z,4.12,5.7,59.6,winddata,tb
2023-08-09T18:01:48.000Z,3.39,5.4,62.3,winddata,tb
2023-08-09T18:31:48.000Z,2.11,2.8,37.3,winddata,tb
2023-08-09T19:01:47.000Z,6.57,8.0,261.9,winddata,tb
2023-08-09T19:31:48.000Z,5.29,6.5,240.8,winddata,tb
2023-08-09T20:01:48.000Z,4.7,6.3,229.5,winddata,tb
2023-08-09T20:31:48.000Z,5.41,6.9,213.7,winddata,tb
2023-08-09T21:01:48.000Z,5.7,7.2,212.8,winddata,tb
2023-08-09T21:31:48.000Z,5.46,6.8,209.8,winddata,tb
2023-08-09T22:01:48.000Z,5.78,7.1,258.5,winddata,tb
2023-08-09T22:31:48.000Z,6.73,8.4,233.6,winddata,tb
2023-08-09T23:01:48.000Z,4.35,6.0,240.9,winddata,tb
2023-08-09T23:31:48.000Z,10.08,12.0,239.4,winddata,tb
2023-08-10T00:01:48.000Z,8.02,9.7,223.2,winddata,tb
2023-08-10T00:31:48.000Z,6.96,8.6,246.4,winddata,tb
2023-08-10T01:01:48.000Z,5.05,6.4,231.9,winddata,tb
